experiment,comparison,first,second,task_id,init_state_index,environment_seed,first_policy_rng_seed,second_policy_rng_seed,policy_rng_batch_size,first_success,second_success,cell,first_steps,second_steps,step_difference_second_minus_first,first_logical_vlm_forwards,second_logical_vlm_forwards,logical_vlm_forward_difference_second_minus_first,actual_vlm_forward_difference_second_minus_first,episode_wall_difference_second_minus_first
B_action_horizon,h50_vs_h25,h50,h25,4,0,1000,1004,1004,3,True,True,both_success,130,128,-2,3,6,3,,
B_action_horizon,h50_vs_h25,h50,h25,4,1,1001,1004,1004,3,False,False,both_fail,280,280,0,6,12,6,,
B_action_horizon,h50_vs_h25,h50,h25,4,2,1002,1004,1004,3,False,True,second_only_success,280,132,-148,6,6,0,,
B_action_horizon,h50_vs_h25,h50,h25,4,3,1003,1003,1003,1,False,False,both_fail,280,280,0,6,12,6,6,11.273586360999616
B_action_horizon,h50_vs_h25,h50,h25,4,4,1004,1004,1004,1,False,False,both_fail,280,280,0,6,12,6,6,5.317603438999868
B_action_horizon,h50_vs_h25,h50,h25,4,5,1005,1005,1005,1,True,True,both_success,139,131,-8,3,6,3,3,4.284599604000505
B_action_horizon,h50_vs_h25,h50,h25,4,6,1006,1006,1006,1,False,False,both_fail,280,280,0,6,12,6,6,1.7995822960001533
B_action_horizon,h50_vs_h25,h50,h25,4,7,1007,1007,1007,1,True,True,both_success,127,132,5,3,6,3,3,2.813243125999179
B_action_horizon,h50_vs_h25,h50,h25,4,8,1008,1008,1008,1,False,True,second_only_success,280,126,-154,6,6,0,0,-17.70714649599995
B_action_horizon,h50_vs_h25,h50,h25,4,9,1009,1009,1009,1,True,True,both_success,140,139,-1,3,6,3,3,2.224728564999623
B_action_horizon,h50_vs_h25,h50,h25,5,0,1000,1005,1005,3,False,False,both_fail,280,280,0,6,12,6,,
B_action_horizon,h50_vs_h25,h50,h25,5,1,1001,1005,1005,3,False,False,both_fail,280,280,0,6,12,6,,
B_action_horizon,h50_vs_h25,h50,h25,5,2,1002,1005,1005,3,False,False,both_fail,280,280,0,6,12,6,,
B_action_horizon,h50_vs_h25,h50,h25,5,3,1003,1003,1003,1,False,False,both_fail,280,280,0,6,12,6,6,2.7018064290004986
B_action_horizon,h50_vs_h25,h50,h25,5,4,1004,1004,1004,1,False,False,both_fail,280,280,0,6,12,6,6,4.673267927999859
B_action_horizon,h50_vs_h25,h50,h25,5,5,1005,1005,1005,1,False,False,both_fail,280,280,0,6,12,6,6,5.784337500999754
B_action_horizon,h50_vs_h25,h50,h25,5,6,1006,1006,1006,1,False,False,both_fail,280,280,0,6,12,6,6,6.544373890000315
B_action_horizon,h50_vs_h25,h50,h25,5,7,1007,1007,1007,1,False,False,both_fail,280,280,0,6,12,6,6,3.720923849999963
B_action_horizon,h50_vs_h25,h50,h25,5,8,1008,1008,1008,1,False,False,both_fail,280,280,0,6,12,6,6,3.6240978669998185
B_action_horizon,h50_vs_h25,h50,h25,5,9,1009,1009,1009,1,False,False,both_fail,280,280,0,6,12,6,6,2.7188318949997665
B_action_horizon,h50_vs_h25,h50,h25,7,0,1000,1007,1007,3,False,True,second_only_success,280,113,-167,6,5,-1,,
B_action_horizon,h50_vs_h25,h50,h25,7,1,1001,1007,1007,3,False,True,second_only_success,280,123,-157,6,5,-1,,
B_action_horizon,h50_vs_h25,h50,h25,7,2,1002,1007,1007,3,False,False,both_fail,280,280,0,6,12,6,,
B_action_horizon,h50_vs_h25,h50,h25,7,3,1003,1003,1003,1,True,True,both_success,119,108,-11,3,5,2,2,-1.8843456390000028
B_action_horizon,h50_vs_h25,h50,h25,7,4,1004,1004,1004,1,True,True,both_success,119,119,0,3,5,2,2,-3.74076765000018
B_action_horizon,h50_vs_h25,h50,h25,7,5,1005,1005,1005,1,False,True,second_only_success,280,116,-164,6,5,-1,-1,-25.17755465900018
B_action_horizon,h50_vs_h25,h50,h25,7,6,1006,1006,1006,1,True,True,both_success,119,114,-5,3,5,2,2,-3.6862449659993217
B_action_horizon,h50_vs_h25,h50,h25,7,7,1007,1007,1007,1,False,False,both_fail,280,280,0,6,12,6,6,3.516842767000526
B_action_horizon,h50_vs_h25,h50,h25,7,8,1008,1008,1008,1,False,False,both_fail,280,280,0,6,12,6,6,4.569796714999939
B_action_horizon,h50_vs_h25,h50,h25,7,9,1009,1009,1009,1,True,True,both_success,120,117,-3,3,5,2,2,-0.36270222999883117
B_action_horizon,h50_vs_h25,h50,h25,8,0,1000,1008,1008,3,True,True,both_success,95,91,-4,2,4,2,,
B_action_horizon,h50_vs_h25,h50,h25,8,1,1001,1008,1008,3,False,True,second_only_success,280,91,-189,6,4,-2,,
B_action_horizon,h50_vs_h25,h50,h25,8,2,1002,1008,1008,3,False,False,both_fail,280,280,0,6,12,6,,
B_action_horizon,h50_vs_h25,h50,h25,8,3,1003,1003,1003,1,True,True,both_success,95,93,-2,2,4,2,2,1.1917207940005028
B_action_horizon,h50_vs_h25,h50,h25,8,4,1004,1004,1004,1,False,False,both_fail,280,280,0,6,12,6,6,3.699829154999861
B_action_horizon,h50_vs_h25,h50,h25,8,5,1005,1005,1005,1,True,True,both_success,94,90,-4,2,4,2,2,1.5601808059991527
B_action_horizon,h50_vs_h25,h50,h25,8,6,1006,1006,1006,1,False,True,second_only_success,280,87,-193,6,4,-2,-2,-28.44823952600109
B_action_horizon,h50_vs_h25,h50,h25,8,7,1007,1007,1007,1,False,True,second_only_success,280,88,-192,6,4,-2,-2,-31.10661947099925
B_action_horizon,h50_vs_h25,h50,h25,8,8,1008,1008,1008,1,True,True,both_success,99,97,-2,2,4,2,2,-2.5356578939999963
B_action_horizon,h50_vs_h25,h50,h25,8,9,1009,1009,1009,1,False,False,both_fail,280,280,0,6,12,6,6,1.028067602000192
B_action_horizon,h50_vs_h10,h50,h10,4,0,1000,1004,1004,3,True,True,both_success,130,127,-3,3,13,10,,
B_action_horizon,h50_vs_h10,h50,h10,4,1,1001,1004,1004,3,False,False,both_fail,280,280,0,6,28,22,,
B_action_horizon,h50_vs_h10,h50,h10,4,2,1002,1004,1004,3,False,True,second_only_success,280,129,-151,6,13,7,,
B_action_horizon,h50_vs_h10,h50,h10,4,3,1003,1003,1003,1,False,False,both_fail,280,280,0,6,28,22,22,7.673273614999744
B_action_horizon,h50_vs_h10,h50,h10,4,4,1004,1004,1004,1,False,True,second_only_success,280,128,-152,6,13,7,7,-18.41934944500008
B_action_horizon,h50_vs_h10,h50,h10,4,5,1005,1005,1005,1,True,True,both_success,139,122,-17,3,13,10,10,1.2261322300009851
B_action_horizon,h50_vs_h10,h50,h10,4,6,1006,1006,1006,1,False,True,second_only_success,280,237,-43,6,24,18,18,2.84404805199938
B_action_horizon,h50_vs_h10,h50,h10,4,7,1007,1007,1007,1,True,True,both_success,127,129,2,3,13,10,10,4.2454430600000705
B_action_horizon,h50_vs_h10,h50,h10,4,8,1008,1008,1008,1,False,False,both_fail,280,280,0,6,28,22,22,15.900595163999242
B_action_horizon,h50_vs_h10,h50,h10,4,9,1009,1009,1009,1,True,False,first_only_success,140,280,140,3,28,25,25,27.254025456000363
B_action_horizon,h50_vs_h10,h50,h10,5,0,1000,1005,1005,3,False,False,both_fail,280,280,0,6,28,22,,
B_action_horizon,h50_vs_h10,h50,h10,5,1,1001,1005,1005,3,False,False,both_fail,280,280,0,6,28,22,,
B_action_horizon,h50_vs_h10,h50,h10,5,2,1002,1005,1005,3,False,False,both_fail,280,280,0,6,28,22,,
B_action_horizon,h50_vs_h10,h50,h10,5,3,1003,1003,1003,1,False,False,both_fail,280,280,0,6,28,22,22,6.775617502000387
B_action_horizon,h50_vs_h10,h50,h10,5,4,1004,1004,1004,1,False,False,both_fail,280,280,0,6,28,22,22,8.280391282999972
B_action_horizon,h50_vs_h10,h50,h10,5,5,1005,1005,1005,1,False,False,both_fail,280,280,0,6,28,22,22,4.7148535500000435
B_action_horizon,h50_vs_h10,h50,h10,5,6,1006,1006,1006,1,False,False,both_fail,280,280,0,6,28,22,22,8.262904084999718
B_action_horizon,h50_vs_h10,h50,h10,5,7,1007,1007,1007,1,False,False,both_fail,280,280,0,6,28,22,22,6.595643275999464
B_action_horizon,h50_vs_h10,h50,h10,5,8,1008,1008,1008,1,False,False,both_fail,280,280,0,6,28,22,22,3.2288499620003677
B_action_horizon,h50_vs_h10,h50,h10,5,9,1009,1009,1009,1,False,False,both_fail,280,280,0,6,28,22,22,5.96957513299958
B_action_horizon,h50_vs_h10,h50,h10,7,0,1000,1007,1007,3,False,True,second_only_success,280,115,-165,6,12,6,,
B_action_horizon,h50_vs_h10,h50,h10,7,1,1001,1007,1007,3,False,True,second_only_success,280,116,-164,6,12,6,,
B_action_horizon,h50_vs_h10,h50,h10,7,2,1002,1007,1007,3,False,True,second_only_success,280,131,-149,6,14,8,,
B_action_horizon,h50_vs_h10,h50,h10,7,3,1003,1003,1003,1,True,True,both_success,119,107,-12,3,11,8,8,-1.6823375819999455
B_action_horizon,h50_vs_h10,h50,h10,7,4,1004,1004,1004,1,True,True,both_success,119,119,0,3,12,9,9,-2.180005546999837
B_action_horizon,h50_vs_h10,h50,h10,7,5,1005,1005,1005,1,False,True,second_only_success,280,115,-165,6,12,6,6,-23.641568665999785
B_action_horizon,h50_vs_h10,h50,h10,7,6,1006,1006,1006,1,True,True,both_success,119,112,-7,3,12,9,9,-2.0336056670003018
B_action_horizon,h50_vs_h10,h50,h10,7,7,1007,1007,1007,1,False,True,second_only_success,280,118,-162,6,12,6,6,-17.808118015999753
B_action_horizon,h50_vs_h10,h50,h10,7,8,1008,1008,1008,1,False,False,both_fail,280,280,0,6,28,22,22,7.7955306489993745
B_action_horizon,h50_vs_h10,h50,h10,7,9,1009,1009,1009,1,True,True,both_success,120,120,0,3,12,9,9,1.0052482010005406
B_action_horizon,h50_vs_h10,h50,h10,8,0,1000,1008,1008,3,True,True,both_success,95,91,-4,2,10,8,,
B_action_horizon,h50_vs_h10,h50,h10,8,1,1001,1008,1008,3,False,True,second_only_success,280,97,-183,6,10,4,,
B_action_horizon,h50_vs_h10,h50,h10,8,2,1002,1008,1008,3,False,False,both_fail,280,280,0,6,28,22,,
B_action_horizon,h50_vs_h10,h50,h10,8,3,1003,1003,1003,1,True,True,both_success,95,97,2,2,10,8,8,2.5739075800001956
B_action_horizon,h50_vs_h10,h50,h10,8,4,1004,1004,1004,1,False,False,both_fail,280,280,0,6,28,22,22,5.529315093999685
B_action_horizon,h50_vs_h10,h50,h10,8,5,1005,1005,1005,1,True,True,both_success,94,93,-1,2,10,8,8,2.6230360669997026
