episode_index,split,benchmark_task_id,dataset_task_index,length,shard_file,shard_bytes,shard_sha256,decoded_pixels_sha256,source_data_file,camera1_video_file,camera2_video_file
1261,validation,6,30,110,outputs/wm/stage13_full_feature_cache/shards/episode_001261.safetensors,2713390,2c5b5b89379b9a0851b5549e6e8630d792bde7c211acde38c3168bb7d6f952f3,25fc9ba1277cdfaeab292503b9701f5a25437ea15402bf72f47888faa1737054,data/chunk-000/file-308.parquet,videos/observation.images.image/chunk-000/file-027.mp4,videos/observation.images.image2/chunk-000/file-027.mp4
1262,train,4,31,138,outputs/wm/stage13_full_feature_cache/shards/episode_001262.safetensors,3403802,606956a9dc4984cc641f69c5bc23701625b9d724f6ac929c2b127f4ab3be22f7,34c870781ccb3a48518818e8071086d349088630b7ce8edb62c6972168df9d52,data/chunk-000/file-308.parquet,videos/observation.images.image/chunk-000/file-027.mp4,videos/observation.images.image2/chunk-000/file-027.mp4
1263,validation,4,31,127,outputs/wm/stage13_full_feature_cache/shards/episode_001263.safetensors,3132575,5efd71ce2306e9ceb129c4b11c05643b7638e3a32796b83855e80395b918d5eb,706d28587b90467fa6ad678c9c553b001b30781b380ab50dc57e134cf9023ef3,data/chunk-000/file-308.parquet,videos/observation.images.image/chunk-000/file-027.mp4,videos/observation.images.image2/chunk-000/file-027.mp4
1264,train,5,32,100,outputs/wm/stage13_full_feature_cache/shards/episode_001264.safetensors,2466804,3b6ccb8553260cb0ade16a0abda288ed6bf05ac4c4ce65d2097f71ee15657ad0,86ed5ece3d055a8f7c40f9f1056a98b54fd49abb3bdef776357dca65e7388bec,data/chunk-000/file-308.parquet,videos/observation.images.image/chunk-000/file-027.mp4,videos/observation.images.image2/chunk-000/file-027.mp4
1265,train,5,32,116,outputs/wm/stage13_full_feature_cache/shards/episode_001265.safetensors,2861316,1f60981a572b8c557c1a360680513f30146507fbecf31dd6195bd0442c01e3e6,5c11305ff13ba77e5ae4cb688cf732d0913b7c7136e61870b587a4afe12a11d7,data/chunk-000/file-308.parquet,videos/observation.images.image/chunk-000/file-027.mp4,videos/observation.images.image2/chunk-000/file-027.mp4
1266,train,5,32,107,outputs/wm/stage13_full_feature_cache/shards/episode_001266.safetensors,2639403,afd1e4c7626d05ed0075ff7fe03a416814faee4516436b605b43e532ba3b3529,b1cd0db867b5ed8d532c0b1f9f8e205b9c8e29aace0e46a0e6e4028a7f47e1fa,data/chunk-000/file-309.parquet,videos/observation.images.image/chunk-000/file-027.mp4,videos/observation.images.image2/chunk-000/file-027.mp4
1267,train,7,33,124,outputs/wm/stage13_full_feature_cache/shards/episode_001267.safetensors,3058572,49fb95aa80d317ba85c14d2ad84128525225a63e3ec28acaf210d67859e6c69d,bf27fddabb3d10d6587cb7c75f2513bdcfab5fb2ff95485448bc788e4efd1242,data/chunk-000/file-309.parquet,videos/observation.images.image/chunk-000/file-027.mp4,videos/observation.images.image2/chunk-000/file-027.mp4
1268,validation,4,31,129,outputs/wm/stage13_full_feature_cache/shards/episode_001268.safetensors,3181889,7a82e9a3eab05de48b2a4ec916059c00c44b814b0f82e3bdb9255cbe74d570a1,ae010d7eeb8688d6da84e95cc1ce66b5a384201446c5ef86944671d9b5225126,data/chunk-000/file-309.parquet,videos/observation.images.image/chunk-000/file-027.mp4,videos/observation.images.image2/chunk-000/file-027.mp4
1269,validation,7,33,139,outputs/wm/stage13_full_feature_cache/shards/episode_001269.safetensors,3428435,da34700a4b8d953e2e88b08aa941a78ff727aae544b4395d1dd5da913b010fc5,94a62225c9fc90eba22321b1a1e9ed284b8e14df364b44f2a10a3c0d2b6ffe4f,data/chunk-000/file-309.parquet,videos/observation.images.image/chunk-000/file-027.mp4,videos/observation.images.image2/chunk-000/file-027.mp4
1270,validation,7,33,148,outputs/wm/stage13_full_feature_cache/shards/episode_001270.safetensors,3650348,2df942f910c0febc91b8ca5bc58f1bb0aea392acf1e8544e4e8927b5d2f5534e,28dfb695ea4f2a8d38512e14eaaed7b87ad45c4695beb6b41fbf4107c3966982,data/chunk-000/file-309.parquet,videos/observation.images.image/chunk-000/file-027.mp4,videos/observation.images.image2/chunk-000/file-027.mp4
