benchmark_task_id,mode,horizon,windows,raw_mse
0,conditioned_correct,25,288,0.9125924925837252
0,conditioned_zero,25,288,1.0662817779100604
0,conditioned_shuffled,25,288,1.0260665089719825
0,no_action,25,288,0.9232489029980369
0,persistence,25,288,1.4134126386294763
1,conditioned_correct,25,423,0.853362254710344
1,conditioned_zero,25,423,0.93735231046981
1,conditioned_shuffled,25,423,0.9295292682681523
1,no_action,25,423,0.8202956118764043
1,persistence,25,423,1.3727762259490102
2,conditioned_correct,25,456,0.9287775295476118
2,conditioned_zero,25,456,1.062618324173647
2,conditioned_shuffled,25,456,1.053802479515996
2,no_action,25,456,1.0009078388674217
2,persistence,25,456,1.468258170051533
3,conditioned_correct,25,275,0.9127189221165397
3,conditioned_zero,25,275,1.0750038207661021
3,conditioned_shuffled,25,275,1.0401749363812534
3,no_action,25,275,0.9859555914185264
3,persistence,25,275,1.5825779849832708
4,conditioned_correct,25,485,0.9767416939907467
4,conditioned_zero,25,485,1.115317115218369
4,conditioned_shuffled,25,485,1.0986140438576335
4,no_action,25,485,1.0042084322147762
4,persistence,25,485,1.6274494118297222
5,conditioned_correct,25,389,0.9287561354416501
5,conditioned_zero,25,389,1.0204831651366462
5,conditioned_shuffled,25,389,0.99152502348613
5,no_action,25,389,0.9758306830585156
5,persistence,25,389,1.3452097863954873
6,conditioned_correct,25,451,0.9420742364125347
6,conditioned_zero,25,451,1.0945940912430672
6,conditioned_shuffled,25,451,1.0806516650775055
6,no_action,25,451,1.0634610231329755
6,persistence,25,451,1.5988464155905526
7,conditioned_correct,25,453,0.9128159628009165
7,conditioned_zero,25,453,1.1172525049834852
7,conditioned_shuffled,25,453,1.0741462463443117
7,no_action,25,453,0.9859061666145493
7,persistence,25,453,1.473387603070299
8,conditioned_correct,25,472,0.8628051034095934
8,conditioned_zero,25,472,1.0305546578966964
8,conditioned_shuffled,25,472,1.0129387873714253
8,no_action,25,472,0.964859843822354
8,persistence,25,472,1.5014982582780265
9,conditioned_correct,25,444,0.9579235519374814
9,conditioned_zero,25,444,1.103826513295775
9,conditioned_shuffled,25,444,1.0914802293519716
9,no_action,25,444,1.018079838639981
9,persistence,25,444,1.568680073898118
