benchmark_task_id,content_sha256,episode_index,file_bytes,file_sha256,init_state_index,old_steps,old_success,rollout_id,seed,step_delta,steps,success,success_matches_stage7,task_name,terminal_observation_kind,valid_transitions,local_artifact,has_dual_camera_observations,has_complete_robot_state,has_actions_rewards_labels,wm_transition_eligible
4,7a19d45c5f1f98cce6c5d70e8b141f088d1a817abb4f4a3b7685bccb3d4e0aca,0,34805191,1eb3702eaf12ce77d8b2c40b8f465f98b04cc0d8f7a0a315bc9301c1328fad40,0,127,True,pretrained-h10-task04-init00,1000,0,127,True,True,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,automatic_reset_observation,126,outputs/wm/stage16_closed_loop_recollection/episodes/task_04_init_00.npz,True,True,True,True
4,7d47e13f14f21ed87b28ac05330b2377a77af49496cf82e58e2e71b39b135f0a,1,71878513,f035f31bc15fa77be7a6bcb9f29c8239d8eec144809220303416b011055d5fb4,1,280,False,pretrained-h10-task04-init01,1001,0,280,False,True,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,time_limit_observation,280,outputs/wm/stage16_closed_loop_recollection/episodes/task_04_init_01.npz,True,True,True,True
4,e07f57871e05536eac024ff31e4acfc125904df023235495e27a034d25c7efff,2,35905714,a1e48002e8a4543056875c75fd16b5f795b13ddae8d6abd29b24056f8825ac26,2,129,True,pretrained-h10-task04-init02,1002,0,129,True,True,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,automatic_reset_observation,128,outputs/wm/stage16_closed_loop_recollection/episodes/task_04_init_02.npz,True,True,True,True
5,7c7cd1882d2eb9b589258df9f443a70270ee1541e197503fb4fa6863f1576688,0,71240363,9092be6d1b0b0c45ae596f64c31a66169bc8804edf60b8533fed38305bf5ce05,0,280,False,pretrained-h10-task05-init00,1000,0,280,False,True,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,time_limit_observation,280,outputs/wm/stage16_closed_loop_recollection/episodes/task_05_init_00.npz,True,True,True,True
5,6749896b5b5d51e140ccce6beaf47c926e3bf9df62da35131500fa27afc1ade6,1,70218212,82656e2e9e37a64b893e9e7f96645189142c5c0a4b82aeef94462e3dfbeeef0d,1,280,False,pretrained-h10-task05-init01,1001,0,280,False,True,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,time_limit_observation,280,outputs/wm/stage16_closed_loop_recollection/episodes/task_05_init_01.npz,True,True,True,True
5,5b2d2293c91ff9906f523ae2eeb226f3df2df976dcdf6c15368869b1175431fd,2,73829376,71b8e8ed94c0f9eca0edeb8048062e0672e61b2041bdc5768680caf653b445b4,2,280,False,pretrained-h10-task05-init02,1002,0,280,False,True,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,time_limit_observation,280,outputs/wm/stage16_closed_loop_recollection/episodes/task_05_init_02.npz,True,True,True,True
7,6188e891482f97b1c8598d614050be5657b499c378748f12d6cb1810bae1b56c,0,33572735,4d82a38b9cbd9dd1b5c8afbe9947d839314cd5ff5bbee7c918ee3d20c291a494,0,115,True,pretrained-h10-task07-init00,1000,0,115,True,True,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,automatic_reset_observation,114,outputs/wm/stage16_closed_loop_recollection/episodes/task_07_init_00.npz,True,True,True,True
7,200fecc6c2586df17a4aa8a7cc86bfbcfb07692ac6697208ddf5583600ed46ec,1,35738742,222e498c905c97376d06a06c038c33e57ff7f29fd13c234ac5e416293ad3c6a8,1,116,True,pretrained-h10-task07-init01,1001,0,116,True,True,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,automatic_reset_observation,115,outputs/wm/stage16_closed_loop_recollection/episodes/task_07_init_01.npz,True,True,True,True
7,41e1fb8c8f018c0f6501e9fef81cc378d8adff96ff4cdc206958fa89dd8e1297,2,35243746,492427f5416c9b870a835af6cc3d7c1f055f33d7a8ae1075aa284c939ceb82c6,2,131,True,pretrained-h10-task07-init02,1002,0,131,True,True,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,automatic_reset_observation,130,outputs/wm/stage16_closed_loop_recollection/episodes/task_07_init_02.npz,True,True,True,True
8,b4defdad3c7dcb44e7d4ecfd687d44e2bdd224777c203621d4818d440f19d2cd,0,26195246,6a0019092b13a157622ca8a5803379df8ea5535bafac10788d803f7daae0fecc,0,91,True,pretrained-h10-task08-init00,1000,0,91,True,True,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,automatic_reset_observation,90,outputs/wm/stage16_closed_loop_recollection/episodes/task_08_init_00.npz,True,True,True,True
8,3b93caca007b177a2db9a471125adb69f788ae37f419c99ce4a63c3cb5907742,1,27663614,ee32f478ec3e9fe3cc4202ac04e62e7a67833eaab878efc0551b16dcac3ed498,1,97,True,pretrained-h10-task08-init01,1001,0,97,True,True,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,automatic_reset_observation,96,outputs/wm/stage16_closed_loop_recollection/episodes/task_08_init_01.npz,True,True,True,True
8,1ab0c487001f858c1c7e48f0a9b0441853106d6c4d4d38881d0f93c500cb4113,2,76737651,65e1d36c392f1bff0ada4ebd316e33310ba1b3720e2b6e1af937ac1a7a07c3e0,2,280,False,pretrained-h10-task08-init02,1002,0,280,False,True,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,time_limit_observation,280,outputs/wm/stage16_closed_loop_recollection/episodes/task_08_init_02.npz,True,True,True,True
