rollout_id,benchmark_task_id,episode_index,success,failure,steps,fixed_prefix_starts,h1_raw_mse,h10_raw_mse,h10_correct_zero_disagreement,h10_correct_no_action_disagreement,h10_action_advantage_vs_zero,h10_persistence_raw_mse
pretrained-h10-task04-init00,4,0,True,False,127,80,0.1665331870317459,0.76964271068573,0.08688396960496902,0.11440397799015045,0.10615222156047821,1.050351858139038
pretrained-h10-task04-init01,4,1,False,True,280,80,0.15077373385429382,0.7891629934310913,0.07207728922367096,0.11747036129236221,0.04233475774526596,0.8385289311408997
pretrained-h10-task04-init02,4,2,True,False,129,80,0.17833924293518066,0.8868277668952942,0.10160942375659943,0.12250564247369766,0.14291295409202576,1.2098805904388428
pretrained-h10-task05-init00,5,0,False,True,280,80,0.13766710460186005,0.8031152486801147,0.10972360521554947,0.13673551380634308,0.04366741329431534,0.7464133501052856
pretrained-h10-task05-init01,5,1,False,True,280,80,0.15473736822605133,0.8424170613288879,0.10951705276966095,0.13784268498420715,0.04378623515367508,0.8412586450576782
pretrained-h10-task05-init02,5,2,False,True,280,80,0.1251356303691864,0.7748463749885559,0.07410446554422379,0.12309832870960236,0.04572025686502457,0.671209990978241
pretrained-h10-task07-init00,7,0,True,False,115,80,0.14292851090431213,0.6898627877235413,0.1168505996465683,0.09986349195241928,0.0978095605969429,0.8477713465690613
pretrained-h10-task07-init01,7,1,True,False,116,80,0.131943017244339,0.6775826215744019,0.09956622868776321,0.11303794384002686,0.10105571895837784,0.8546859622001648
pretrained-h10-task07-init02,7,2,True,False,131,80,0.13159126043319702,0.6999274492263794,0.0567028634250164,0.1287442296743393,0.03594222292304039,0.7068214416503906
pretrained-h10-task08-init00,8,0,True,False,91,80,0.15160782635211945,0.7587913274765015,0.19013066589832306,0.12483870983123779,0.14622166752815247,1.0682945251464844
pretrained-h10-task08-init01,8,1,True,False,97,80,0.14710302650928497,0.7818460464477539,0.14446166157722473,0.1043800562620163,0.14290305972099304,1.1035826206207275
pretrained-h10-task08-init02,8,2,False,True,280,80,0.1609080582857132,0.8041025400161743,0.167803093791008,0.14704735577106476,0.0651889368891716,0.9160442352294922
