rollout_id,benchmark_task_id,episode_index,success,steps,valid_transitions,source_content_sha256,policy_pixels_sha256,feature_file,feature_bytes,feature_sha256
pretrained-h10-task04-init00,4,0,True,127,126,7a19d45c5f1f98cce6c5d70e8b141f088d1a817abb4f4a3b7685bccb3d4e0aca,a508920f885fa1f7c9be2385525caa3dea2e716b7d9cc2b5a5df5157abf6bc58,outputs/wm/stage17_failure_signal/features/pretrained-h10-task04-init00.safetensors,3154507,d5cc8c7a0b9e94adbcf4f47000605b0f4505104be310c6725326fc33689d2812
pretrained-h10-task04-init01,4,1,False,280,280,7d47e13f14f21ed87b28ac05330b2377a77af49496cf82e58e2e71b39b135f0a,c36c6c3df0997205ee7701daff0d119250ca0c23a46a6c18235cc3a10f7479c2,outputs/wm/stage17_failure_signal/features/pretrained-h10-task04-init01.safetensors,6923968,fd9b0f87780a0405b45569405939b9bcbf95fbed4926ca3aef78dea06248c412
pretrained-h10-task04-init02,4,2,True,129,128,e07f57871e05536eac024ff31e4acfc125904df023235495e27a034d25c7efff,7465f2853544c959c1b967b0f35ff3d433d20a1f12ce035538450d78bdb8541c,outputs/wm/stage17_failure_signal/features/pretrained-h10-task04-init02.safetensors,3203781,fad798e0125a85222029d6a4e00bda80f604ce851334a0524303d12b442b2f77
pretrained-h10-task05-init00,5,0,False,280,280,7c7cd1882d2eb9b589258df9f443a70270ee1541e197503fb4fa6863f1576688,6482c6212f47dfe4417e7404de505fbe0b81805219c0558dd6fd6aa5af0a13a4,outputs/wm/stage17_failure_signal/features/pretrained-h10-task05-init00.safetensors,6923968,71f37f1e809ac7fd78912831b6dac57a407cbefecfe2ada2b06b4e15f5c8283c
pretrained-h10-task05-init01,5,1,False,280,280,6749896b5b5d51e140ccce6beaf47c926e3bf9df62da35131500fa27afc1ade6,a7423bff227d2f9b086e4a427107a36ac18dbe3e8bfdc7cd8e314ae31073eb9c,outputs/wm/stage17_failure_signal/features/pretrained-h10-task05-init01.safetensors,6923968,261bb3d6be00de9b25cf7995dba038adb1bbf6a3330b5222aa5f206865a77033
pretrained-h10-task05-init02,5,2,False,280,280,5b2d2293c91ff9906f523ae2eeb226f3df2df976dcdf6c15368869b1175431fd,f55be63af209eaa37edad6204aa134e888f2c5d9d54137e23cf657b25815b505,outputs/wm/stage17_failure_signal/features/pretrained-h10-task05-init02.safetensors,6923968,63b06bc56b7cfcf8711b0a1c67eeff9d356d10ea660cc90d7528acd1afad7237
pretrained-h10-task07-init00,7,0,True,115,114,6188e891482f97b1c8598d614050be5657b499c378748f12d6cb1810bae1b56c,d46d77a8a23ba6e984238513a8e4f378664d1e91114bba4785e5ccf54bfc6f79,outputs/wm/stage17_failure_signal/features/pretrained-h10-task07-init00.safetensors,2858863,2c41bca62f6588d2a344ea0013c3795d5c14e35130756bb1bc5e9143ba96dc61
pretrained-h10-task07-init01,7,1,True,116,115,200fecc6c2586df17a4aa8a7cc86bfbcfb07692ac6697208ddf5583600ed46ec,d86958264bac3e3db99077e9f79f75e4b32d31160cdaa4e79c96d3a5c20638fd,outputs/wm/stage17_failure_signal/features/pretrained-h10-task07-init01.safetensors,2883500,7c178a79e6a7aa06c0b0134be8d2bdd1f3948572ccff5d43cce10c5fbab0fe16
pretrained-h10-task07-init02,7,2,True,131,130,41e1fb8c8f018c0f6501e9fef81cc378d8adff96ff4cdc206958fa89dd8e1297,864a472bcb191c4507229e0363b47fa263e3f43d600db64b6153a8981d469604,outputs/wm/stage17_failure_signal/features/pretrained-h10-task07-init02.safetensors,3253055,cef8ac17dfbd4ab0d09d4857dd7cafde87e755b2cde6ff6d3dca91ef4569b70d
pretrained-h10-task08-init00,8,0,True,91,90,b4defdad3c7dcb44e7d4ecfd687d44e2bdd224777c203621d4818d440f19d2cd,8032d116863faf6b6aa7ed58af4ab9fca590de0490ebda216552f86a354ed3e9,outputs/wm/stage17_failure_signal/features/pretrained-h10-task08-init00.safetensors,2267567,069af9246a8afa7308e51521541acf13eaa3f87f5c7f92c727c684163660c903
pretrained-h10-task08-init01,8,1,True,97,96,3b93caca007b177a2db9a471125adb69f788ae37f419c99ce4a63c3cb5907742,af09b75b9d8b79b8477104d76984702897dd964b1268ac3d0e268f4f00fec66e,outputs/wm/stage17_failure_signal/features/pretrained-h10-task08-init01.safetensors,2415389,aecccdaf116d9538a3ad3e3fc65dd810a0199380efe782cb821ba14b629113a1
pretrained-h10-task08-init02,8,2,False,280,280,1ab0c487001f858c1c7e48f0a9b0441853106d6c4d4d38881d0f93c500cb4113,57ae41aede362de30dff70fd2c6eca1086a5245fc2d73ac80bb9c56ed334fe7a,outputs/wm/stage17_failure_signal/features/pretrained-h10-task08-init02.safetensors,6923968,4372d89a120956224f35641bef1c42bd6609783b4af4478c812d70d8a3c382a4
