rollout_id,benchmark_task_id,task_name,init_state_index,episode_seed,success,steps,cumulative_reward,initial_observation_sha256,action_sha256,official_libero_initial_state,complete_observations_saved,test_demonstration_episode_used,source_stage,role,included_in_balanced_cohort
pretrained-h10-task05-init03,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,3,180503,False,280,0.0,e3db4bf42289c7822c09e6ad0e734efc1739cc627e738f997fe69b999e870393,9254bd091d8be21fdf46ee444acc951750eb1e35b217ce6bdf682a5226956793,True,False,False,18,policy_floor_stress_set,False
pretrained-h10-task05-init04,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,4,180504,False,280,0.0,7b3dc69e31db85e8ebe3af03755575ac06c50d3f4cf64a69481457bdf967967e,71bccf4ca30d5e584354ec5f7abfb0acb089cc9cece2980577bf8cafbc9c5fa7,True,False,False,18,policy_floor_stress_set,False
pretrained-h10-task05-init05,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,180505,False,280,0.0,7e87cb4dee7a7e38fd8252c934a0a02301ad1c99a32890dd792963d41bb109a7,b9b003180d218785cb8078a1f4fe41c731060ecb049f87b30e52b5a78d93dc34,True,False,False,18,policy_floor_stress_set,False
pretrained-h10-task05-init06,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,6,180506,False,280,0.0,6b5b5c85d0d186f0e280a3c895c277499b1d89193b35f47504a1e3248f034701,b392dbf0a9a88e906815c4f2534180a7f3e0b1d508fcc91c553723c0dd20e9f7,True,False,False,18,policy_floor_stress_set,False
pretrained-h10-task05-init07,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,7,180507,False,280,0.0,379f213e222be74d8666f355afb66db2867493b16eebd1cab09b59b919630f35,aa4779e80b5fbfbf45b6956f240dab670369fe47dcfc94b8e4d248544a2dc368,True,False,False,18,policy_floor_stress_set,False
pretrained-h10-task05-init08,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,8,180508,False,280,0.0,5128403a60cfe6d32998d9a728655cd4e1654725f800a9a8626e4004333a253f,865f4ead1ff41ca16c052fda8a83ee20e1800d5137a4d0b14d141f134d24d049,True,False,False,18,policy_floor_stress_set,False
pretrained-h10-task05-init09,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,9,180509,False,280,0.0,4a750e33b5516a1169f56953ddbbc46ea840dbe498aa5eb84b8c8a01f46a8b5c,185fe4b4b1ff2aa5ffefcb18034eae082b04e00f3dfbee796913de73ccad1de9,True,False,False,18,policy_floor_stress_set,False
pretrained-h10-task05-init10,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,10,180510,False,280,0.0,ee47526fcb82bc4f10e19b8d16fdc88bf0df4c6235fa54c49693dab8e339f476,87e5b115f60b213d45a178656ed511b681f019b5c1a7224037e1c8b5b3dc0032,True,False,False,18,policy_floor_stress_set,False
pretrained-h10-task05-init11,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,11,180511,False,280,0.0,3d73b6905687fe6ce0926bcb7f8f417bfaf7ac4482010f4de844bdf4f7ddab8c,54c728d7396b3e28fa2227a7f850f8b248350ac931cc7c8aae291efc758b977e,True,False,False,18,policy_floor_stress_set,False
pretrained-h10-task05-init12,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,12,180512,False,280,0.0,01c3513e548f9126cb7dd99ffdff5b69dfdbf75d8ed12b666db8b6916d04070a,d032bcf8a6ee50b847f001c6fb22e0f008b2df6c64ac0e4f46e00344f2a97ed1,True,False,False,18,policy_floor_stress_set,False
pretrained-h10-task05-init13,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,13,180513,False,280,0.0,95f1b38eb10e45d94a64348337196b6a7829c3cd51c186fe426f678d6486e8c7,e97f1ba8d1c39238b3b093fc44a4d9a9c0ec3b3bcb13326dc4aaa0389a499a46,True,False,False,18,policy_floor_stress_set,False
pretrained-h10-task05-init14,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,14,180514,False,280,0.0,167c53172a92af13bf31563754c6426ec8b54523c54476dd3e5af097c0e7e0a1,06a7e72a3f26ca4961d20c1599f6c1d5bc98fcbed0b30997ad2ef488b5db6948,True,False,False,18,policy_floor_stress_set,False
