rollout_id,benchmark_task_id,task_name,init_state_index,episode_seed,success,steps,cumulative_reward,initial_observation_sha256,action_sha256,official_libero_initial_state,complete_observations_saved,test_demonstration_episode_used,source_stage
pretrained-h10-task08-init15,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,15,180815,True,93,1.0,7aa802a3fc2b1be57fbef2708d17f2f281ff312fdcac4867b4bfc735afa0b1e0,46c505b686a13e83b1cc78521deabba9446211529080eb6b4199594019774c11,True,False,False,19
pretrained-h10-task08-init16,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,16,180816,True,177,1.0,40bf39323b950ebe2f10b42310ab60901c77f6ea11d43a593785ba0155b11dcf,19267d8f7f2fb01ff0448e1de26b6774bbd82c8f4d29b708f77f49b4b47e6247,True,False,False,19
pretrained-h10-task08-init17,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,17,180817,True,98,1.0,632454ff3b9052b63e6dfe5bd9a1d0418eb9793240b9bd904b8344dd8c9e385f,6b8d7b5c25292aad5a0b6799caa2a136cbf60b77e7c6d7a93489487c839fd181,True,False,False,19
pretrained-h10-task08-init18,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,18,180818,True,94,1.0,b3d9ff35d31714f679fab7d7797a885c06085ba88368c302a5190a271687106f,0e14dec217df6494c19e909aec5ee62ce8bdab85dc93a5f1e3989df1c882b719,True,False,False,19
pretrained-h10-task08-init19,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,19,180819,True,97,1.0,2e816b2d451df945c02ba851c226b3ce60ce1df3ae8b1f28f2a6294b67ee965a,389d7ed81b5cd765ede81bb0c42d023d37f58ce49b60b1ab376e5653f8bdff38,True,False,False,19
pretrained-h10-task08-init20,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,20,180820,True,94,1.0,c98328a482c277441216ed79e46755759141e82c1cdd25d98c6b6742f9f923bf,bd13896a729cf7e48ed30c81e78aca51a65c35ff76c48aa96cf50332419ec8f7,True,False,False,19
pretrained-h10-task08-init21,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,21,180821,True,89,1.0,e7806e773f8460207d90ccc66eb9c26925541af54e82f0fd2c6244ef736fa779,d5c6d7970fa3c37a7490efc88bebfb596a668d2936f31e81438c95b17c943489,True,False,False,19
pretrained-h10-task08-init22,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,22,180822,True,96,1.0,2ce29d488cb859b9d0ce43314b62816ace31f2337a94048a821cf939cf998d23,83c1c8cdd515ae1a47e59d21b5f5a3f90413ae18c471edf265552d35e5247dd6,True,False,False,19
pretrained-h10-task08-init23,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,23,180823,True,92,1.0,f8d23f06980a7caacb65a4a1c7f1568158e1f0a342fda18b33f22ff0dd8cc997,c875212a5cf060636b29c30b4bfc0e0582d4d57dbf0c18c5da74ac18f2c56d64,True,False,False,19
pretrained-h10-task08-init24,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,24,180824,True,93,1.0,e16a9ab5802471f155702ab042195148b44d77ae81bc510fcd59c57d9021c0c4,96191376204429727f268384d475c06f4e76995adc90b139121a088a1305a345,True,False,False,19
pretrained-h10-task08-init25,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,25,180825,True,89,1.0,4288b8fb3bd69e0ff94a0e2de711655a8ac6e0808827406ee4a70970bc9d734c,54a2d4656ca3da284479471bc595567927d3fbb10996b6fb4f0efc497ac961d8,True,False,False,19
pretrained-h10-task08-init26,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,26,180826,True,91,1.0,41bca4d2a29cf952438ec86daf2624fd3a05ec0adaf05e5f96bb065f26f766f7,a5828e5a415863b2f8bcb6a6d895257eb2baf72331f45dcda3d9f572ee43e29d,True,False,False,19
