archive_bytes,archive_sha256,benchmark_task_id,commanded_action_sha256,condition,content_sha256,episode_seed,executed_action_sha256,init_state_index,initial_observation_sha256,intervention_start,intervention_steps,pair_id,preintervention_commanded_action_sha256,preintervention_observation_sha256,protocol_sha256,rollout_id,steps,success,task_name,valid_transitions,local_artifact,has_dual_camera_observations,has_complete_robot_state,has_commanded_and_executed_actions,world_model_scores_computed
35976807,8ece6f91c99ed3d2f31dd0bbedab7035f81e5527c3d39d8e34a94259d8622a1a,4,aa44a3666078729b97f05b83505498b419b11faeb69fb40b125453edce12c9f4,nominal,d2affe45d02329df249eb35f17c023caf2e74ed2b8bc5f47f6798f240a29cd7c,180408,aa44a3666078729b97f05b83505498b419b11faeb69fb40b125453edce12c9f4,8,2150c62bc3b487f102508e42f81fa7b331947e030cd1a2a5a87be31f5f35c6f5,,0,task04-init08,706a7be2b1eb666ed6c8f7f9d27be961ff27ef12aeaa95ddaebcab17e2a39a20,a001c1b798ae30153b1e2d1222b0a6a823cf90352f7f94dc26e4df76f8d35b8e,63604bca6752505a4a14cba4df96389a94d57f0b00c60cf84c90b33364d37f9e,task04-init08-nominal,131,True,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,130,outputs/wm/stage20_paired_interventions/episodes/task04-init08_nominal.npz,True,True,True,False
67093528,4019833f98f28ca59758d98a691f2e1b2fb43f6d8eec255f0564c0495a257d2e,4,b77d0f6ad30f877c489bb64ec0b99e09fc4128679efdd72d41e495dd14b9c678,persistent_motion_dropout,a5f4fe1fabcf4ed636cec9e24ebd6dfc88c663973069538dbb5c3ff6bd3449b4,180408,4b736ed6d2ac82810aaf56485bfd0e63511b400f4c59c3cd8d165e709e0f4b9d,8,2150c62bc3b487f102508e42f81fa7b331947e030cd1a2a5a87be31f5f35c6f5,50,230,task04-init08,706a7be2b1eb666ed6c8f7f9d27be961ff27ef12aeaa95ddaebcab17e2a39a20,a001c1b798ae30153b1e2d1222b0a6a823cf90352f7f94dc26e4df76f8d35b8e,63604bca6752505a4a14cba4df96389a94d57f0b00c60cf84c90b33364d37f9e,task04-init08-persistent_motion_dropout,280,False,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,280,outputs/wm/stage20_paired_interventions/episodes/task04-init08_persistent_motion_dropout.npz,True,True,True,False
33398581,0a4c3cadab828c87916e50a0c97a710dd66877f6165fbc667bbefc2abeaa7bed,4,4e7ffef7141e58e4a90a9aa83da44b4cdfb2d228e2a7e40034f069c6d519489e,nominal,899f33943f0cfb1cccf7d6215c116d5be1ae09b87b30e39e75b581b66fede1d6,180405,4e7ffef7141e58e4a90a9aa83da44b4cdfb2d228e2a7e40034f069c6d519489e,5,1b6bd9871c0985bc8b2f71476701ab41cc66ea160eefa1ac438176cdccfcd7b5,,0,task04-init05,e9b8d370b87fe62b97cf4890a14d3c3736808f68290f4c6ef36b01d7e9b13614,371ffcae7259cd3a5a48ceb67ea06dfbf56edb1c5d1a29674a782c638d467113,63604bca6752505a4a14cba4df96389a94d57f0b00c60cf84c90b33364d37f9e,task04-init05-nominal,122,True,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,121,outputs/wm/stage20_paired_interventions/episodes/task04-init05_nominal.npz,True,True,True,False
75041399,e3037ae796ea579d16787405dfe4583fe75ae163309d58e1fea647eb1948c4f3,4,85e6157660ba3ad30ac45c0c30feda8a8bc9cf5840682e24308bc47181f9f35c,persistent_motion_dropout,12dec0a4be025ef436b94752109258fbb559c436ccc04292a498ad096d4acd83,180405,08a693693d3d424ccf3bb385b43f38993354e72fd35b2f9237216ed91d059fd0,5,1b6bd9871c0985bc8b2f71476701ab41cc66ea160eefa1ac438176cdccfcd7b5,50,230,task04-init05,e9b8d370b87fe62b97cf4890a14d3c3736808f68290f4c6ef36b01d7e9b13614,371ffcae7259cd3a5a48ceb67ea06dfbf56edb1c5d1a29674a782c638d467113,63604bca6752505a4a14cba4df96389a94d57f0b00c60cf84c90b33364d37f9e,task04-init05-persistent_motion_dropout,280,False,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,280,outputs/wm/stage20_paired_interventions/episodes/task04-init05_persistent_motion_dropout.npz,True,True,True,False
32477173,cb2f5f60eec8df2bdfc0225d31ced8381e082b728effec39efe54aa96dc659d4,7,a4919b2f49c5f782079523a5058fbbb05fe19fdcf238d728bc4b95e7509ed2e1,nominal,c845cadc5ceedb09de4f3f95527322f3ba0800eb4cafb51d169f7eddb5347ef6,180706,a4919b2f49c5f782079523a5058fbbb05fe19fdcf238d728bc4b95e7509ed2e1,6,b797e87930073e1d8c198e5bb0fc2a0218077f2921bd85d81437ca76a7d18d3e,,0,task07-init06,561322f744d04a557002c541801d9cbb010651a7103f45a268f408e28685b2dc,fa71d5b1998bd07366181b4bd7fed731be26c42f4da096eea92659a0b26cf5a2,63604bca6752505a4a14cba4df96389a94d57f0b00c60cf84c90b33364d37f9e,task07-init06-nominal,108,True,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,107,outputs/wm/stage20_paired_interventions/episodes/task07-init06_nominal.npz,True,True,True,False
81879794,33a4c55ef4bd1884cd8a6f8d30421f07dab212c0ceb21e8d7e0a936aa4cdbd7a,7,48a49ec77536b7f4f5c17d79052936128a203512a69ffcf51c576fb913aeb0b5,persistent_motion_dropout,55a8fa1efbde91916b30d454aebe586685261eb9e460661bc24fc1d7e143205b,180706,bb53edbb324e50a571cf71d54a856c7a93f1c52554198c1d81695438a7ff8905,6,b797e87930073e1d8c198e5bb0fc2a0218077f2921bd85d81437ca76a7d18d3e,50,230,task07-init06,561322f744d04a557002c541801d9cbb010651a7103f45a268f408e28685b2dc,fa71d5b1998bd07366181b4bd7fed731be26c42f4da096eea92659a0b26cf5a2,63604bca6752505a4a14cba4df96389a94d57f0b00c60cf84c90b33364d37f9e,task07-init06-persistent_motion_dropout,280,False,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,280,outputs/wm/stage20_paired_interventions/episodes/task07-init06_persistent_motion_dropout.npz,True,True,True,False
35238429,72220546b256807afd13474468833176d678ded7500966aabb30521460817739,7,fcc0b46b69b5faa286cf53f6060c432ff73e3070c1a1beb805ba7e36df30606c,nominal,2203cca6640177dec9dac8f81a2e6de962bc1c9ca4acef1be640a3802ea39349,180704,fcc0b46b69b5faa286cf53f6060c432ff73e3070c1a1beb805ba7e36df30606c,4,4d57f799373ce0666a9b9c697f40faa4b08a9c5c2e275d663a6d5cd7903a3268,,0,task07-init04,c6432c0e1f19f4e39f5a59b10d27c6319f7e2ad642a207b25bd9c600b6e7a8c5,e254b884fc5cf262cc8fc9f0f9b21479c06a4a53b3a21125e78af79ac63dc065,63604bca6752505a4a14cba4df96389a94d57f0b00c60cf84c90b33364d37f9e,task07-init04-nominal,119,True,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,118,outputs/wm/stage20_paired_interventions/episodes/task07-init04_nominal.npz,True,True,True,False
79990446,0abbdbcfb5e57fdce11727aab96372b6305f44101514bde80670e9064e0e1387,7,ac73f726b03995684f17478358025f21d58d6118e591b53da1a4acc59f2cf428,persistent_motion_dropout,87d66813b51c000a753fdf9dda03b34dfb7ab19beff25834f3a3b4260471fc50,180704,176bc36ff7b05cffa8f3d9355e1acfef9db656c74a42ac2024dd113f46e746ee,4,4d57f799373ce0666a9b9c697f40faa4b08a9c5c2e275d663a6d5cd7903a3268,50,230,task07-init04,c6432c0e1f19f4e39f5a59b10d27c6319f7e2ad642a207b25bd9c600b6e7a8c5,e254b884fc5cf262cc8fc9f0f9b21479c06a4a53b3a21125e78af79ac63dc065,63604bca6752505a4a14cba4df96389a94d57f0b00c60cf84c90b33364d37f9e,task07-init04-persistent_motion_dropout,280,False,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,280,outputs/wm/stage20_paired_interventions/episodes/task07-init04_persistent_motion_dropout.npz,True,True,True,False
25869224,0e1d544f78c01c01c55ffa0f6583c92f5fad438bac13a27a9829a50da9e22cb3,8,43df8b452c51a4612d44c56a96864a9a626b3e337167606ba6a8aff6af16281e,nominal,69d6c6f1ca2eec0a630c1f8e92ffb242f4c384d30a108708516acc538bb67bac,180814,43df8b452c51a4612d44c56a96864a9a626b3e337167606ba6a8aff6af16281e,14,c71ee540e387394dcbb486e8992d3108ed78894f6b7a7935efcd1ac486b43a5a,,0,task08-init14,3d174f2e16e91ce10d6c8edb7ad9fe4324795d53f9301c8c1b553c8a6f3aea88,b5a5c36710385024080e7b84448425f9310c94d84127f3eb10bea00bf1df00be,63604bca6752505a4a14cba4df96389a94d57f0b00c60cf84c90b33364d37f9e,task08-init14-nominal,91,True,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,90,outputs/wm/stage20_paired_interventions/episodes/task08-init14_nominal.npz,True,True,True,False
85474163,dae5c46a4d24a59b3f6e726e1a0cb85fee145763fb0c0cf4db8486939077282b,8,41669f352e68e8ba3a7971e6bb6809b9ca8ef2fceb171379a592d33d04fedcc8,persistent_motion_dropout,94915edbf81f2cb04391533d3d00c3c706b2bf7f27162fedb90cc4b1c87cf252,180814,feae70b175299e248bb1cebb03ac236daff90f948b958bbd51df56dc0b56bf7d,14,c71ee540e387394dcbb486e8992d3108ed78894f6b7a7935efcd1ac486b43a5a,50,230,task08-init14,3d174f2e16e91ce10d6c8edb7ad9fe4324795d53f9301c8c1b553c8a6f3aea88,b5a5c36710385024080e7b84448425f9310c94d84127f3eb10bea00bf1df00be,63604bca6752505a4a14cba4df96389a94d57f0b00c60cf84c90b33364d37f9e,task08-init14-persistent_motion_dropout,280,False,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,280,outputs/wm/stage20_paired_interventions/episodes/task08-init14_persistent_motion_dropout.npz,True,True,True,False
