rollout_id,pair_id,condition,benchmark_task_id,init_state_index,period,window_starts,commanded_h10_raw_mse,executed_h10_raw_mse,no_action_h10_raw_mse,persistence_h10_raw_mse
task04-init05-nominal,task04-init05,nominal,4,5,pre,30,0.8674279451370239,0.8674279451370239,0.8557578921318054,1.1647441387176514
task04-init05-nominal,task04-init05,nominal,4,5,post,30,0.7483323812484741,0.7483323812484741,0.7616317272186279,0.9083446860313416
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,pre,30,0.8674279451370239,0.8674279451370239,0.8557578921318054,1.1647441387176514
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,post,30,0.8050615787506104,0.6166574358940125,0.7649285793304443,0.08694684505462646
task04-init08-nominal,task04-init08,nominal,4,8,pre,30,0.9091577529907227,0.9091577529907227,0.9074797034263611,1.23051917552948
task04-init08-nominal,task04-init08,nominal,4,8,post,30,0.7989293336868286,0.7989293336868286,0.7981889843940735,1.0301038026809692
task04-init08-persistent_motion_dropout,task04-init08,persistent_motion_dropout,4,8,pre,30,0.9091577529907227,0.9091577529907227,0.9074797034263611,1.23051917552948
task04-init08-persistent_motion_dropout,task04-init08,persistent_motion_dropout,4,8,post,30,0.858291506767273,0.7227982878684998,0.837151825428009,0.20801521837711334
task07-init04-nominal,task07-init04,nominal,7,4,pre,30,0.713641345500946,0.713641345500946,0.7251015305519104,1.0056782960891724
task07-init04-nominal,task07-init04,nominal,7,4,post,30,0.8386375904083252,0.8386375904083252,0.8957874774932861,1.1417547464370728
task07-init04-persistent_motion_dropout,task07-init04,persistent_motion_dropout,7,4,pre,30,0.713641345500946,0.713641345500946,0.7251015305519104,1.0056782960891724
task07-init04-persistent_motion_dropout,task07-init04,persistent_motion_dropout,7,4,post,30,0.5270583033561707,0.49228012561798096,0.47937461733818054,0.283607542514801
task07-init06-nominal,task07-init06,nominal,7,6,pre,30,0.6984975337982178,0.6984975337982178,0.7013844847679138,0.963458240032196
task07-init06-nominal,task07-init06,nominal,7,6,post,30,0.8511995673179626,0.8511995673179626,0.8159698247909546,1.1258903741836548
task07-init06-persistent_motion_dropout,task07-init06,persistent_motion_dropout,7,6,pre,30,0.6984975337982178,0.6984975337982178,0.7013844847679138,0.963458240032196
task07-init06-persistent_motion_dropout,task07-init06,persistent_motion_dropout,7,6,post,30,0.6536920666694641,0.5241397023200989,0.5555533766746521,0.370561420917511
task08-init14-nominal,task08-init14,nominal,8,14,pre,30,0.7754326462745667,0.7754326462745667,0.7867519855499268,1.0617619752883911
task08-init14-nominal,task08-init14,nominal,8,14,post,30,0.6197913885116577,0.6197913885116577,0.600617527961731,0.771824300289154
task08-init14-persistent_motion_dropout,task08-init14,persistent_motion_dropout,8,14,pre,30,0.7754326462745667,0.7754326462745667,0.7867519855499268,1.0617619752883911
task08-init14-persistent_motion_dropout,task08-init14,persistent_motion_dropout,8,14,post,30,0.6090271472930908,0.41900765895843506,0.5276225209236145,0.13138236105442047
task08-init24-nominal,task08-init24,nominal,8,24,pre,30,0.7620223760604858,0.7620223760604858,0.809324324131012,1.0995373725891113
task08-init24-nominal,task08-init24,nominal,8,24,post,30,0.7143533825874329,0.7143533825874329,0.7354031801223755,0.8420135974884033
task08-init24-persistent_motion_dropout,task08-init24,persistent_motion_dropout,8,24,pre,30,0.7620223760604858,0.7620223760604858,0.809324324131012,1.0995373725891113
task08-init24-persistent_motion_dropout,task08-init24,persistent_motion_dropout,8,24,post,30,0.8780955076217651,0.5848896503448486,0.7196294665336609,0.18436673283576965
