rollout_id,pair_id,condition,benchmark_task_id,init_state_index,steps,valid_transitions,source_content_sha256,policy_pixels_sha256,feature_file,feature_bytes,feature_sha256
task04-init05-nominal,task04-init05,nominal,4,5,122,121,899f33943f0cfb1cccf7d6215c116d5be1ae09b87b30e39e75b581b66fede1d6,7035a4fd3b453f529bf6bb6c883fe58031969ea324653294484d5594d057e143,outputs/wm/stage21_paired_wm_scoring/features/task04-init05-nominal.safetensors,3035060,e2de7f89b45b3a0ce361c3fd69adc9f30572172de2289458587ae69658acce57
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,280,280,12dec0a4be025ef436b94752109258fbb559c436ccc04292a498ad096d4acd83,d2c24db26dad9897e9d48d77a4991387ecdb63432db6aa0a9d5fa8fef9228c7f,outputs/wm/stage21_paired_wm_scoring/features/task04-init05-persistent_motion_dropout.safetensors,6932328,c6e11e61c67b7536b502e0fb4a2385a9ded679138fb253292ae405de42a282a8
task04-init08-nominal,task04-init08,nominal,4,8,131,130,d2affe45d02329df249eb35f17c023caf2e74ed2b8bc5f47f6798f240a29cd7c,4305348ad9e02bc7b15fe13a12ba175d4dd4219f019f281df5814f16f939b0af,outputs/wm/stage21_paired_wm_scoring/features/task04-init08-nominal.safetensors,3257054,addf34e5f46d5f2f7e42c212245832486d7d0c5cb8aa12f66cba704ca70ab871
task04-init08-persistent_motion_dropout,task04-init08,persistent_motion_dropout,4,8,280,280,a5f4fe1fabcf4ed636cec9e24ebd6dfc88c663973069538dbb5c3ff6bd3449b4,87324fd71fd468e632183c0cc9cbf043a3e36a067eadac7873a3c13b8ea511ea,outputs/wm/stage21_paired_wm_scoring/features/task04-init08-persistent_motion_dropout.safetensors,6932328,5fdbfe000e1e1e32cece76982e008ea83b683b8d4fa650d58e3d6eab8b9fd976
task07-init04-nominal,task07-init04,nominal,7,4,119,118,2203cca6640177dec9dac8f81a2e6de962bc1c9ca4acef1be640a3802ea39349,d15a092e9172ba0e8585b4de72b42206f503f32a437d547d804043790436a482,outputs/wm/stage21_paired_wm_scoring/features/task07-init04-nominal.safetensors,2961062,e589a8b3a6894c0694b78472d85dddc91ee8733c0b01133cb8719a82b6d42cf1
task07-init04-persistent_motion_dropout,task07-init04,persistent_motion_dropout,7,4,280,280,87d66813b51c000a753fdf9dda03b34dfb7ab19beff25834f3a3b4260471fc50,48500d6a98fa530345e69ecf84ebf39a1bd3c75f7ef40eef2f36f2d10d08ce01,outputs/wm/stage21_paired_wm_scoring/features/task07-init04-persistent_motion_dropout.safetensors,6932328,19f31df3d254f7ee6e6220f0bcf9ecf00a416cea59fceb62419acc1633e2b4a9
task07-init06-nominal,task07-init06,nominal,7,6,108,107,c845cadc5ceedb09de4f3f95527322f3ba0800eb4cafb51d169f7eddb5347ef6,81417b69999df505df75477a247d633694a91606a44af9c33e11463ad6080aa3,outputs/wm/stage21_paired_wm_scoring/features/task07-init06-nominal.safetensors,2689736,2ee1a620f5b1c6990db07eef660d8af49d80074bdcbf775b914ae3176d18d5fc
task07-init06-persistent_motion_dropout,task07-init06,persistent_motion_dropout,7,6,280,280,55a8fa1efbde91916b30d454aebe586685261eb9e460661bc24fc1d7e143205b,63055305b4457e68659d23d178fc7f54e5547490cdd8c8fe191882cbd252b285,outputs/wm/stage21_paired_wm_scoring/features/task07-init06-persistent_motion_dropout.safetensors,6932328,390eb98aa649749f9505f253d016aa0f6e46f89c5b82da3ae1f587e18ba933b7
task08-init14-nominal,task08-init14,nominal,8,14,91,90,69d6c6f1ca2eec0a630c1f8e92ffb242f4c384d30a108708516acc538bb67bac,66938e27dfa3fc6294afa0ebd99c087653512cd98db1ac43255439e49be8e53b,outputs/wm/stage21_paired_wm_scoring/features/task08-init14-nominal.safetensors,2270406,44e7a4e3205a9223aa78547ed369b57278bdd407c80e3224aefc52fa14bb10af
task08-init14-persistent_motion_dropout,task08-init14,persistent_motion_dropout,8,14,280,280,94915edbf81f2cb04391533d3d00c3c706b2bf7f27162fedb90cc4b1c87cf252,e47fb16674b0cbce11fbf567ecf42c568a2aa7049c47561c7eb7519a03b5c96e,outputs/wm/stage21_paired_wm_scoring/features/task08-init14-persistent_motion_dropout.safetensors,6932328,c65436e6f2071aea20395c8c76b054e9e30703a49ec6cb511d0d624ca4b1a042
task08-init24-nominal,task08-init24,nominal,8,24,93,92,d9d2c0d4df389e2834b121290f3553f8b46944b6c4f9b9d492bff59571c898ea,9032449f4494612d2fae5227ecd1937849c52ee377aa270e98f7d46f9e935b2e,outputs/wm/stage21_paired_wm_scoring/features/task08-init24-nominal.safetensors,2319738,08085e5ac0f7a362c8330bcf311144cd3a67c9f1913b7c9b6851689483dffdd7
task08-init24-persistent_motion_dropout,task08-init24,persistent_motion_dropout,8,24,280,280,5e4f79e2a496c9b43a2db711e466cc5254277effa83770de1048bdd78b15a12a,9c785143ac124643ddbfd14c97cea8e6d57c50da26fafa3de376413dbc868961,outputs/wm/stage21_paired_wm_scoring/features/task08-init24-persistent_motion_dropout.safetensors,6932328,9952b94ba67f04483ee9b2459d1f1d26f44df1a3d409fa39e610787174dcc701
