archive_bytes,archive_sha256,benchmark_task_id,commanded_action_sha256,condition,content_sha256,diagnostic_transitions,episode_seed,executed_action_sha256,init_state_index,initial_observation_sha256,intervention_start,intervention_steps,pair_id,post_arm_action_mismatch_l2_max,post_arm_action_mismatch_l2_mean,post_dual_camera_pixel_mae_mean,post_eef_motion_l2_mean,preintervention_commanded_action_sha256,preintervention_observation_sha256,protocol_sha256,rollout_id,steps,success,task_name,valid_transitions,local_artifact,has_complete_observations,world_model_scores_computed
34169122,59fd414a2a4c25a60aa346b0c3c4c9770d89acd238b23f351d4ae07cec521e77,4,d05b2889f648efd6bb6cb96618d0cc2c56c917dd287a87a20181a46a7462f26d,nominal,6cc7294758a47724e6d6d3149207ab982d447afb8f2c914f2819a9850ca5771f,39,180407,d05b2889f648efd6bb6cb96618d0cc2c56c917dd287a87a20181a46a7462f26d,7,d5e38f08bf88d27ef5e796233f6864a81d0e39f388be40e1a0d61ff81b9f3302,,0,task04-init07,0.0,0.0,6.5626606941223145,0.00880338903516531,ae79cf9e0e87eff59238adfee1402e3e2ffb9ecf8aae9bd38d8522c4136aeae0,e4fbde9a7e51bd1f45c2fa6b55d1c10ad85c8e163c590cd0d3fede24ba830224,5751f405e7ac647044fecdeba9a427e0a7bd1b46d0592fe0ad3b1d6519e3dc01,task04-init07-nominal,126,True,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,125,outputs/wm/stage22_confirmatory_interventions/episodes/task04-init07_nominal.npz,True,False
48575378,11072ae792a45f74f9d0aa899efd7ade31a8ad056dfe89f01d8b3fe7b9d58789,4,718957d536c70359bdc26ea370b79838eb4a90622ae0438d06599e850e949f5b,motion_attenuation_0p5,d7406f6478591bf04570b64cc4b98082e807f4a255913609550b9cd5c17a6a83,39,180407,28b1dda65b9ecd81b6c366fc8ff56011efb7400bf10d3e931308eefeda89a0b2,7,d5e38f08bf88d27ef5e796233f6864a81d0e39f388be40e1a0d61ff81b9f3302,50,128,task04-init07,0.46394941210746765,0.370450496673584,5.764096736907959,0.0043657622300088406,ae79cf9e0e87eff59238adfee1402e3e2ffb9ecf8aae9bd38d8522c4136aeae0,e4fbde9a7e51bd1f45c2fa6b55d1c10ad85c8e163c590cd0d3fede24ba830224,5751f405e7ac647044fecdeba9a427e0a7bd1b46d0592fe0ad3b1d6519e3dc01,task04-init07-motion_attenuation_0p5,178,True,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,177,outputs/wm/stage22_confirmatory_interventions/episodes/task04-init07_motion_attenuation_0p5.npz,True,False
35594749,027570c663360d776eceb909cd602dc322db2ec0b8622fc64de15a7c30c36b1a,4,af425d16da6783028640630ce0e67a85aaf749508223e28a7b46afeea51737eb,action_delay_3,7145905e8fc1115b45f30fae79d3a3319318b3a5b0e19201f8a15dce7f808ef4,39,180407,be3ad3b36c68f783821f626efe1743d14472d72395c6f1285b865107ba0edaf6,7,d5e38f08bf88d27ef5e796233f6864a81d0e39f388be40e1a0d61ff81b9f3302,50,81,task04-init07,0.44031161069869995,0.21864192187786102,6.084811687469482,0.007669729180634022,ae79cf9e0e87eff59238adfee1402e3e2ffb9ecf8aae9bd38d8522c4136aeae0,e4fbde9a7e51bd1f45c2fa6b55d1c10ad85c8e163c590cd0d3fede24ba830224,5751f405e7ac647044fecdeba9a427e0a7bd1b46d0592fe0ad3b1d6519e3dc01,task04-init07-action_delay_3,131,True,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,130,outputs/wm/stage22_confirmatory_interventions/episodes/task04-init07_action_delay_3.npz,True,False
37333955,417c3ba0c2f9b43fca095eb4d1ea752194d5010463c385867959c4d8a4314668,4,ef6123b3acad2af6dc10903cb6b7d1b86bcfaec9f12b7746ed715db49a4c066c,nominal,c664456f0898b6e3050c1d6a25d610cf5b4c2f95a5843ffa7fde493748bde512,39,180412,ef6123b3acad2af6dc10903cb6b7d1b86bcfaec9f12b7746ed715db49a4c066c,12,19acf5293ed1adfddfb0916cfb872713b334a47a8ff37833e537dad91bbe63a7,,0,task04-init12,0.0,0.0,6.4676384925842285,0.008183532394468784,ae890f1f4046a3c1ad0bdf053e476feaf464995dd3769e716b653f034e30219f,108122dacd9b7cf2b46bd70f9da8e00d7c64ed9d28d89316922991ae12156d59,5751f405e7ac647044fecdeba9a427e0a7bd1b46d0592fe0ad3b1d6519e3dc01,task04-init12-nominal,137,True,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,136,outputs/wm/stage22_confirmatory_interventions/episodes/task04-init12_nominal.npz,True,False
50230333,c0eabe612b861d8d19aed08c4b3d0036bdd9d8ae2020d9bb0390710cfdcae454,4,26d95e92929b7d632192014d246dfa357ae20b6b69e6534cb20457334edb06bc,motion_attenuation_0p5,939fae8b575300f34f7b31c4224622a90be9128f6d43ad2f26c0a80659e73cbc,39,180412,330bd58424b329e41b0c4c48b44f22e90ab9b8e7cd2937f8c3bfd77a4ef3dfa4,12,19acf5293ed1adfddfb0916cfb872713b334a47a8ff37833e537dad91bbe63a7,50,133,task04-init12,0.5263506770133972,0.4039173722267151,5.585808753967285,0.004511693026870489,ae890f1f4046a3c1ad0bdf053e476feaf464995dd3769e716b653f034e30219f,108122dacd9b7cf2b46bd70f9da8e00d7c64ed9d28d89316922991ae12156d59,5751f405e7ac647044fecdeba9a427e0a7bd1b46d0592fe0ad3b1d6519e3dc01,task04-init12-motion_attenuation_0p5,183,True,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,182,outputs/wm/stage22_confirmatory_interventions/episodes/task04-init12_motion_attenuation_0p5.npz,True,False
38636530,0d0880165f868327a4cfe25d04832a3e4b0ec0f7efb626c14797d9b04abcdd87,4,66e01bdbc6684a7b8df741d80b1dfb9fd9a7e97dfaabe7e9ff80775818bd07c3,action_delay_3,2465015a26a604cd619e24a105a6cfc608ed9037117c880f410c3565afd85daf,39,180412,4b918eba696794cec79426bd851b0d7c85d2c97ce1e412a660d40884d1420b0f,12,19acf5293ed1adfddfb0916cfb872713b334a47a8ff37833e537dad91bbe63a7,50,91,task04-init12,0.7089464068412781,0.2792853116989136,6.353596210479736,0.00797035451978445,ae890f1f4046a3c1ad0bdf053e476feaf464995dd3769e716b653f034e30219f,108122dacd9b7cf2b46bd70f9da8e00d7c64ed9d28d89316922991ae12156d59,5751f405e7ac647044fecdeba9a427e0a7bd1b46d0592fe0ad3b1d6519e3dc01,task04-init12-action_delay_3,141,True,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,140,outputs/wm/stage22_confirmatory_interventions/episodes/task04-init12_action_delay_3.npz,True,False
32993674,01e602e7bc04dfb25463db3e7299da9b0842c8df34c8f1612970a7f05b0b4ea9,7,4a410a88a50d6b8f66581191269958ba28b51437223dd0adb5e952b3be74fcd7,nominal,06bef6b2f0691d8337c5dc9a4d66ce6c855b78439453597a00ca1475bec92f3f,39,180705,4a410a88a50d6b8f66581191269958ba28b51437223dd0adb5e952b3be74fcd7,5,d07795d8f6691683e98d6ca17edf6c70392f2aaa3132c215793420afc99e58b4,,0,task07-init05,0.0,0.0,4.374545574188232,0.009840073063969612,4cc40eaf08f042908a58474f9eaf0a0a44c28f6fae43511991c4331f19702ecd,68ad06dd29b0c87c211f9dd47495a9f1314722d93b21ded3f1a88347dd4e1927,5751f405e7ac647044fecdeba9a427e0a7bd1b46d0592fe0ad3b1d6519e3dc01,task07-init05-nominal,120,True,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,119,outputs/wm/stage22_confirmatory_interventions/episodes/task07-init05_nominal.npz,True,False
46058013,5a546d065a12ecad281684f964744dc35411c1e7574f3c9e80e5b9e47df42803,7,93ca61caed6511dbcd87b9e950b667e157d73e284d2718d433870ec7acbcb2e0,motion_attenuation_0p5,7eb9d2866bfabfe160feb05d6fddf145f2d0adefacbb973ef50cac6d2b9eb29a,39,180705,77d1718a6ef8083edf85c66bb00522b21a6cd51395d89101e9ea609fa4fd28fa,5,d07795d8f6691683e98d6ca17edf6c70392f2aaa3132c215793420afc99e58b4,50,114,task07-init05,0.5667513012886047,0.4170474112033844,2.615102529525757,0.005260853096842766,4cc40eaf08f042908a58474f9eaf0a0a44c28f6fae43511991c4331f19702ecd,68ad06dd29b0c87c211f9dd47495a9f1314722d93b21ded3f1a88347dd4e1927,5751f405e7ac647044fecdeba9a427e0a7bd1b46d0592fe0ad3b1d6519e3dc01,task07-init05-motion_attenuation_0p5,164,True,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,163,outputs/wm/stage22_confirmatory_interventions/episodes/task07-init05_motion_attenuation_0p5.npz,True,False
70108037,84bc72166234fb16b811092ed784de274715dac939e3ff386d9094e1fb132687,7,46e8a2c1a73682e5e91daef2e46794c43e1240262a8549e877911923cf757fdb,action_delay_3,c27ba9159cc6a025bd0e4d15fa013debd145c380a3535f1ae938fcde405615b9,39,180705,573cbc88ca3ede4ac0d6a22c67b89089cc6c2f6d8d3a443987621ce2c7e05e6e,5,d07795d8f6691683e98d6ca17edf6c70392f2aaa3132c215793420afc99e58b4,50,203,task07-init05,0.3665996193885803,0.14823749661445618,4.080127716064453,0.009325224906206131,4cc40eaf08f042908a58474f9eaf0a0a44c28f6fae43511991c4331f19702ecd,68ad06dd29b0c87c211f9dd47495a9f1314722d93b21ded3f1a88347dd4e1927,5751f405e7ac647044fecdeba9a427e0a7bd1b46d0592fe0ad3b1d6519e3dc01,task07-init05-action_delay_3,253,True,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,252,outputs/wm/stage22_confirmatory_interventions/episodes/task07-init05_action_delay_3.npz,True,False
37831676,717482b40b08d41d996ee4f13d21142122c25d34de0348c0ee5420df3c658dcc,7,3f0edf25a812174ecae57bc8bd9b9b07e31a949e2e7f2b747bb576a9eede9915,nominal,822881608aaf2834ce8e1c023b7b46b7a1b4139424abd8ccea1c2fb7c837e01c,39,180709,3f0edf25a812174ecae57bc8bd9b9b07e31a949e2e7f2b747bb576a9eede9915,9,3326d98318e7a3778a2cfa0de08f957861a7ba748e791f5c405d44f967402164,,0,task07-init09,0.0,0.0,5.250316143035889,0.008612653240561485,0501454c47d5cdc5346ab927d3caa7d8698a59dad746e84efe5ffb0e60ea2c42,da3889353f09436abd5d38c47fa683d9d6223dcb2616e208966d4abf477ae8d0,5751f405e7ac647044fecdeba9a427e0a7bd1b46d0592fe0ad3b1d6519e3dc01,task07-init09-nominal,124,True,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,123,outputs/wm/stage22_confirmatory_interventions/episodes/task07-init09_nominal.npz,True,False
