rollout_id,pair_id,condition,benchmark_task_id,init_state_index,period,window_starts,commanded_h10_raw_mse,executed_h10_raw_mse,no_action_h10_raw_mse,persistence_h10_raw_mse
task04-init07-nominal,task04-init07,nominal,4,7,pre,30,0.9007315039634705,0.9007315039634705,0.93150395154953,1.326464056968689
task04-init07-nominal,task04-init07,nominal,4,7,post,30,0.8409026861190796,0.8409026861190796,0.8180521726608276,1.1640112400054932
task04-init07-motion_attenuation_0p5,task04-init07,motion_attenuation_0p5,4,7,pre,30,0.9007315039634705,0.9007315039634705,0.93150395154953,1.326464056968689
task04-init07-motion_attenuation_0p5,task04-init07,motion_attenuation_0p5,4,7,post,30,0.7991072535514832,0.7589227557182312,0.7295657992362976,0.87298583984375
task04-init07-action_delay_3,task04-init07,action_delay_3,4,7,pre,30,0.9007315039634705,0.9007315039634705,0.93150395154953,1.326464056968689
task04-init07-action_delay_3,task04-init07,action_delay_3,4,7,post,30,0.8596845865249634,0.8474715948104858,0.8150901794433594,1.0900126695632935
task04-init12-nominal,task04-init12,nominal,4,12,pre,30,0.7512125372886658,0.7512125372886658,0.7735750079154968,1.113411784172058
task04-init12-nominal,task04-init12,nominal,4,12,post,30,0.7664139866828918,0.7664139866828918,0.7582412362098694,1.0067284107208252
task04-init12-motion_attenuation_0p5,task04-init12,motion_attenuation_0p5,4,12,pre,30,0.7512125372886658,0.7512125372886658,0.7735750079154968,1.113411784172058
task04-init12-motion_attenuation_0p5,task04-init12,motion_attenuation_0p5,4,12,post,30,0.7079775929450989,0.6803468465805054,0.6890668272972107,0.7155371904373169
task04-init12-action_delay_3,task04-init12,action_delay_3,4,12,pre,30,0.7512125372886658,0.7512125372886658,0.7735750079154968,1.113411784172058
task04-init12-action_delay_3,task04-init12,action_delay_3,4,12,post,30,0.7040043473243713,0.696829617023468,0.6939635872840881,0.8316180109977722
task07-init05-nominal,task07-init05,nominal,7,5,pre,30,0.7363262176513672,0.7363262176513672,0.7917104363441467,0.8551671504974365
task07-init05-nominal,task07-init05,nominal,7,5,post,30,0.724856972694397,0.724856972694397,0.7320745587348938,0.9216756224632263
task07-init05-motion_attenuation_0p5,task07-init05,motion_attenuation_0p5,7,5,pre,30,0.7363262176513672,0.7363262176513672,0.7917104363441467,0.8551671504974365
task07-init05-motion_attenuation_0p5,task07-init05,motion_attenuation_0p5,7,5,post,30,0.6329813003540039,0.6174757480621338,0.6144114136695862,0.5717726349830627
task07-init05-action_delay_3,task07-init05,action_delay_3,7,5,pre,30,0.7363262176513672,0.7363262176513672,0.7917104363441467,0.8551671504974365
task07-init05-action_delay_3,task07-init05,action_delay_3,7,5,post,30,0.7334522008895874,0.7350286245346069,0.7309801578521729,0.8763126134872437
task07-init09-nominal,task07-init09,nominal,7,9,pre,30,0.7217601537704468,0.7217601537704468,0.7092465758323669,1.0634486675262451
task07-init09-nominal,task07-init09,nominal,7,9,post,30,0.6608105897903442,0.6608105897903442,0.6507969498634338,0.7649293541908264
task07-init09-motion_attenuation_0p5,task07-init09,motion_attenuation_0p5,7,9,pre,30,0.7217601537704468,0.7217601537704468,0.7092465758323669,1.0634486675262451
task07-init09-motion_attenuation_0p5,task07-init09,motion_attenuation_0p5,7,9,post,30,0.5379416346549988,0.5447219610214233,0.5434498190879822,0.5561736822128296
task07-init09-action_delay_3,task07-init09,action_delay_3,7,9,pre,30,0.7217601537704468,0.7217601537704468,0.7092465758323669,1.0634486675262451
task07-init09-action_delay_3,task07-init09,action_delay_3,7,9,post,30,0.5774474740028381,0.583629846572876,0.5690417885780334,0.6148284077644348
task08-init11-nominal,task08-init11,nominal,8,11,pre,30,0.7416208982467651,0.7416208982467651,0.7573797702789307,1.0083661079406738
task08-init11-nominal,task08-init11,nominal,8,11,post,30,0.7068744897842407,0.7068744897842407,0.7111378908157349,0.9912356734275818
task08-init11-motion_attenuation_0p5,task08-init11,motion_attenuation_0p5,8,11,pre,30,0.7416208982467651,0.7416208982467651,0.7573797702789307,1.0083661079406738
task08-init11-motion_attenuation_0p5,task08-init11,motion_attenuation_0p5,8,11,post,30,0.6361986994743347,0.6149589419364929,0.6158615946769714,0.6672589778900146
task08-init11-action_delay_3,task08-init11,action_delay_3,8,11,pre,30,0.7416208982467651,0.7416208982467651,0.7573797702789307,1.0083661079406738
task08-init11-action_delay_3,task08-init11,action_delay_3,8,11,post,30,0.694275438785553,0.6783021092414856,0.6914119124412537,0.8512632846832275
task08-init26-nominal,task08-init26,nominal,8,26,pre,30,0.7706636786460876,0.7706636786460876,0.7993811368942261,1.131440281867981
task08-init26-nominal,task08-init26,nominal,8,26,post,30,0.6435059905052185,0.6435059905052185,0.626373291015625,0.8354642987251282
task08-init26-motion_attenuation_0p5,task08-init26,motion_attenuation_0p5,8,26,pre,30,0.7706636786460876,0.7706636786460876,0.7993811368942261,1.131440281867981
task08-init26-motion_attenuation_0p5,task08-init26,motion_attenuation_0p5,8,26,post,30,0.5810427069664001,0.5443148016929626,0.5311574339866638,0.6477053165435791
task08-init26-action_delay_3,task08-init26,action_delay_3,8,26,pre,30,0.7706636786460876,0.7706636786460876,0.7993811368942261,1.131440281867981
task08-init26-action_delay_3,task08-init26,action_delay_3,8,26,post,30,0.6584881544113159,0.6367255449295044,0.6241391897201538,0.7040494680404663
