rollout_id,pair_id,condition,benchmark_task_id,init_state_index,steps,valid_transitions,source_content_sha256,policy_pixels_sha256,feature_file,feature_bytes,feature_sha256
task04-init07-nominal,task04-init07,nominal,4,7,126,125,6cc7294758a47724e6d6d3149207ab982d447afb8f2c914f2819a9850ca5771f,8dd078c99a2f09e1faa018ca0f35564a29817ba7dccf24b5095d380d6cd851e0,outputs/wm/stage23_confirmatory_wm_scoring/features/task04-init07-nominal.safetensors,3133812,b393565681387acbdbc87617f08567ec94a43dd85c1a27822f1346e2952a7d27
task04-init07-motion_attenuation_0p5,task04-init07,motion_attenuation_0p5,4,7,178,177,d7406f6478591bf04570b64cc4b98082e807f4a255913609550b9cd5c17a6a83,e1a406ce7b312babd3263e7306f449ac639c1228785fc3610b3255d2c9e13c36,outputs/wm/stage23_confirmatory_wm_scoring/features/task04-init07-motion_attenuation_0p5.safetensors,4416476,baf10bee03607cf60e2332491729a206139dd1a0420222cde051997f6f4ef47c
task04-init07-action_delay_3,task04-init07,action_delay_3,4,7,131,130,7145905e8fc1115b45f30fae79d3a3319318b3a5b0e19201f8a15dce7f808ef4,4c4b85094c220245f93b2c7ef2fd9b13072b58457cb2c9754d322df07e951a09,outputs/wm/stage23_confirmatory_wm_scoring/features/task04-init07-action_delay_3.safetensors,3257158,dea15739ab18d6ba96747d5e1459b37a116baa59cb1a135c5eeadbd671827563
task04-init12-nominal,task04-init12,nominal,4,12,137,136,c664456f0898b6e3050c1d6a25d610cf5b4c2f95a5843ffa7fde493748bde512,68e548bee92e3f71c3c774961085276c86463a46f8042a82481161f6a36d8e2f,outputs/wm/stage23_confirmatory_wm_scoring/features/task04-init12-nominal.safetensors,3405138,a41a2ffece1126d12c9e72ecdc032ae593eae57276718dc0c464ce6d8489764e
task04-init12-motion_attenuation_0p5,task04-init12,motion_attenuation_0p5,4,12,183,182,939fae8b575300f34f7b31c4224622a90be9128f6d43ad2f26c0a80659e73cbc,e64d2b48a1c48c346dea3c99149349ea2818b9ff318443c144a7a8724c16047e,outputs/wm/stage23_confirmatory_wm_scoring/features/task04-init12-motion_attenuation_0p5.safetensors,4539806,bb6c70e803f99e0582f5e805e0857ab40ce2f2d2b594f5f2e653529b36e88d0b
task04-init12-action_delay_3,task04-init12,action_delay_3,4,12,141,140,2465015a26a604cd619e24a105a6cfc608ed9037117c880f410c3565afd85daf,8daeb0c8a95bb95f65fa9853334f614965bc55d60c0b205e866fe690d0efefba,outputs/wm/stage23_confirmatory_wm_scoring/features/task04-init12-action_delay_3.safetensors,3503818,5dd2b8db5c5953d6cb97c8869628955e0eadf780b60dd8c4c7a8c70a0e7b0f6d
task07-init05-nominal,task07-init05,nominal,7,5,120,119,06bef6b2f0691d8337c5dc9a4d66ce6c855b78439453597a00ca1475bec92f3f,caf5d8d4decd3cf9bc1c11b9b0506f298ec8af79a2dab4baaf79d81edae746a6,outputs/wm/stage23_confirmatory_wm_scoring/features/task07-init05-nominal.safetensors,2985816,7ad6fe7cf61812b4197cc03e83cf11091cb65dfafba894cdd7251ec3005316e1
task07-init05-motion_attenuation_0p5,task07-init05,motion_attenuation_0p5,7,5,164,163,7eb9d2866bfabfe160feb05d6fddf145f2d0adefacbb973ef50cac6d2b9eb29a,66646e9e97b3ebbc11b9b3b3bb86dd8d87e19bfd14954829d68fe0f13a1ce08e,outputs/wm/stage23_confirmatory_wm_scoring/features/task07-init05-motion_attenuation_0p5.safetensors,4071152,7d9ba1f56de9e6a97129fd7dca7414d44f7f101a57164ae7e562decd3217b068
task07-init05-action_delay_3,task07-init05,action_delay_3,7,5,253,252,c27ba9159cc6a025bd0e4d15fa013debd145c380a3535f1ae938fcde405615b9,a9b3c6152f468e7116b7f7a7e08a5fadec8214411af58fca7a2a5a992d1c7b91,outputs/wm/stage23_confirmatory_wm_scoring/features/task07-init05-action_delay_3.safetensors,6266410,5b9a55795849a6082ea8f3fa7e59b3078761deff2e786080abeab47cffb09814
task07-init09-nominal,task07-init09,nominal,7,9,124,123,822881608aaf2834ce8e1c023b7b46b7a1b4139424abd8ccea1c2fb7c837e01c,4fc091aa505e65f612318e12ba1fb71f609b40878e92416abbe569a4f5e0b669,outputs/wm/stage23_confirmatory_wm_scoring/features/task07-init09-nominal.safetensors,3084480,9cdd1e4bd3c9d3616b6681cb9f212c644fa477e54de4476aa3e548bed5a36ce4
task07-init09-motion_attenuation_0p5,task07-init09,motion_attenuation_0p5,7,9,172,171,5c5d03702fb3d8e7895f9c5f94098d12d7c93af069a55decf792b80b381e5756,00855ce7d38ee90f38e742090f61ac257cb4b97998d7c5ab91956e86b4bbd608,outputs/wm/stage23_confirmatory_wm_scoring/features/task07-init09-motion_attenuation_0p5.safetensors,4268480,58f18996c052840801a216faa07d0ce48a849674b75cde9558b9f5a21581df59
task07-init09-action_delay_3,task07-init09,action_delay_3,7,9,268,267,ab78341429b9c9d4e54dc25976600364a397db155fe7e95b0fcd4064da9e66a0,23082197da13f53902bdbbdb5b694a907a9a0da25c43d60495889093774b3d01,outputs/wm/stage23_confirmatory_wm_scoring/features/task07-init09-action_delay_3.safetensors,6636400,930babda95620a20d853482f0adba180d5eee3d5ab10eb9d47eaa9acb13fdca3
