pair_id,split,condition,benchmark_task_id,init_state_index,wm_alarm,wm_alarm_available_after_step,wm_latency_steps,wm_pre_false_alarm,direct_alarm,direct_alarm_step,direct_latency_steps
calibration-task04-init03,calibration,nominal,4,3,False,,,False,False,,
calibration-task04-init03,calibration,motion_attenuation_0p5,4,3,True,54,4,False,True,50,0
calibration-task04-init13,calibration,nominal,4,13,False,,,False,False,,
calibration-task04-init13,calibration,motion_attenuation_0p5,4,13,True,71,21,False,True,50,0
calibration-task07-init10,calibration,nominal,7,10,False,,,False,False,,
calibration-task07-init10,calibration,motion_attenuation_0p5,7,10,True,71,21,False,True,50,0
calibration-task07-init13,calibration,nominal,7,13,False,,,False,False,,
calibration-task07-init13,calibration,motion_attenuation_0p5,7,13,False,,,False,True,50,0
calibration-task08-init16,calibration,nominal,8,16,False,,,False,False,,
calibration-task08-init16,calibration,motion_attenuation_0p5,8,16,True,52,2,False,True,50,0
calibration-task08-init05,calibration,nominal,8,5,False,,,False,False,,
calibration-task08-init05,calibration,motion_attenuation_0p5,8,5,True,59,9,False,True,50,0
test-task04-init06,test,nominal,4,6,False,,,False,False,,
test-task04-init06,test,motion_attenuation_0p5,4,6,True,65,15,False,True,50,0
test-task04-init06,test,action_delay_3,4,6,True,65,15,False,True,50,0
test-task04-init09,test,nominal,4,9,False,,,False,False,,
test-task04-init09,test,motion_attenuation_0p5,4,9,True,67,17,False,True,50,0
test-task04-init09,test,action_delay_3,4,9,True,66,16,False,True,50,0
test-task07-init08,test,nominal,7,8,False,,,False,False,,
test-task07-init08,test,motion_attenuation_0p5,7,8,True,65,15,False,True,50,0
test-task07-init08,test,action_delay_3,7,8,False,,,False,True,50,0
test-task07-init11,test,nominal,7,11,False,,,False,False,,
test-task07-init11,test,motion_attenuation_0p5,7,11,False,,,False,True,50,0
test-task07-init11,test,action_delay_3,7,11,False,,,False,True,50,0
test-task08-init10,test,nominal,8,10,False,,,False,False,,
test-task08-init10,test,motion_attenuation_0p5,8,10,True,60,10,False,True,50,0
test-task08-init10,test,action_delay_3,8,10,True,56,6,False,True,50,0
test-task08-init23,test,nominal,8,23,False,,,False,False,,
test-task08-init23,test,motion_attenuation_0p5,8,23,True,57,7,False,True,50,0
test-task08-init23,test,action_delay_3,8,23,True,53,3,False,True,50,0
