archive_sha256,benchmark_task_id,commanded_action_sha256,condition,episode_seed,executed_action_sha256,first_direct_mismatch_step,init_state_index,mean_post_arm_action_mismatch_l2,pair_id,pre_commanded_action_sha256,pre_reward_sha256,protocol_sha256,split,steps,success_within_prefix,task_name,timeline_rows
fe94ab43e81cf7140042c88fc6b282ff87f00f9de3b9f11fedd78ebdb4a0ec7a,4,1f0546d254f90cb92cc2e2ba3d6276aff182cf9ba87b5a5fb014539741da491d,nominal,180403,1f0546d254f90cb92cc2e2ba3d6276aff182cf9ba87b5a5fb014539741da491d,,3,0.0,calibration-task04-init03,7a7a0d82ba0e319bd47bf49827dbfbd4e8837f91fb787f4839fa587d8e349c54,08d2806caca1c21e35ab2a08dbaabd6b6d2a0af716ba1601c56f2a255c64a205,bc3ef2a4fd78ed5e281a4382c35db504b7cc1283df7dabb0819610d9bb25d41e,calibration,90,False,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,81
1da52a3dfdd2bbe8c602e83427acd013c6e80aaec6d5cb8d505c16a9c23a728d,4,7453a0fead6687d76af842e74fc803850f3df426c60da58bf2eafc6bf2c40fe1,motion_attenuation_0p5,180403,32a7a29bb3ba9fd2085d134097f801d2e87daa64795514bb8f155c2cd2c5b33b,50,3,0.3501899242401123,calibration-task04-init03,7a7a0d82ba0e319bd47bf49827dbfbd4e8837f91fb787f4839fa587d8e349c54,08d2806caca1c21e35ab2a08dbaabd6b6d2a0af716ba1601c56f2a255c64a205,bc3ef2a4fd78ed5e281a4382c35db504b7cc1283df7dabb0819610d9bb25d41e,calibration,90,False,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,81
834fb611412f9fb80010f82655ec6673cf97278dbeb97387dd608dd02913494d,4,733abb43d6293ec4e3cef3aa495386cd25709696616fa7dade7801dbc3cb2d36,nominal,180413,733abb43d6293ec4e3cef3aa495386cd25709696616fa7dade7801dbc3cb2d36,,13,0.0,calibration-task04-init13,dcf4523d702f27c32ce93a281327500d8eefa395e2e40ead4be0d71d98b97820,08d2806caca1c21e35ab2a08dbaabd6b6d2a0af716ba1601c56f2a255c64a205,bc3ef2a4fd78ed5e281a4382c35db504b7cc1283df7dabb0819610d9bb25d41e,calibration,90,False,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,81
0fc336e8a7f8e42529174c5fa1c2a173fbba04b76a166c6d4d080afcfca4ee7b,4,6e9287802a2a1d02c31ec6a4ecf7b55aa219f75726a0dcde95b100f165111087,motion_attenuation_0p5,180413,fb3f24c99b2caa61f33dc05f7e6c593816189aff750b2139e374681883f7ecaf,50,13,0.41382867097854614,calibration-task04-init13,dcf4523d702f27c32ce93a281327500d8eefa395e2e40ead4be0d71d98b97820,08d2806caca1c21e35ab2a08dbaabd6b6d2a0af716ba1601c56f2a255c64a205,bc3ef2a4fd78ed5e281a4382c35db504b7cc1283df7dabb0819610d9bb25d41e,calibration,90,False,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,81
ea877a87ad02b5b9361eca8197af4dbae7523a68a443959f4f48580e42b1033a,7,aec76ce8fa026bcc0fd05ac7810436d25075f1cb643730e47c682ea8fca1b4b8,nominal,180710,aec76ce8fa026bcc0fd05ac7810436d25075f1cb643730e47c682ea8fca1b4b8,,10,0.0,calibration-task07-init10,636455ae7f09e5aa8ec2ddbc34b9fbd6e710a4e1082bdbd4a1f69879bad2327e,08d2806caca1c21e35ab2a08dbaabd6b6d2a0af716ba1601c56f2a255c64a205,bc3ef2a4fd78ed5e281a4382c35db504b7cc1283df7dabb0819610d9bb25d41e,calibration,90,False,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,81
7f87f47edf25c12ffc99c62397cb0184b68d13ee5bf7cb8a63544bf845c9b69c,7,a01fd27159c6530b7b8d7ee589c2cd0976086cd8d776030155302474009bfe0b,motion_attenuation_0p5,180710,59fc2d9c847006ba2369115d4147c2113a59543bb7255f3a6e3e1328806b3a48,50,10,0.4745417535305023,calibration-task07-init10,636455ae7f09e5aa8ec2ddbc34b9fbd6e710a4e1082bdbd4a1f69879bad2327e,08d2806caca1c21e35ab2a08dbaabd6b6d2a0af716ba1601c56f2a255c64a205,bc3ef2a4fd78ed5e281a4382c35db504b7cc1283df7dabb0819610d9bb25d41e,calibration,90,False,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,81
5186e08acc7c4fd45e5bd25fb58594c197f20b08386c8007ef9310afdda7b696,7,86c5fdce1e6b91fc542f0dea6b39e0c4e56177f50e12b41283c6eaee8d5de19e,nominal,180713,86c5fdce1e6b91fc542f0dea6b39e0c4e56177f50e12b41283c6eaee8d5de19e,,13,0.0,calibration-task07-init13,e888f2b332768693ded586d828272d2c2e50aaab956e99a0fee20788a31253a1,08d2806caca1c21e35ab2a08dbaabd6b6d2a0af716ba1601c56f2a255c64a205,bc3ef2a4fd78ed5e281a4382c35db504b7cc1283df7dabb0819610d9bb25d41e,calibration,90,False,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,81
451f3ab0aef7a84367957d3a93e759e47ca8b798e0c1b99c56406c7c319b8573,7,f367df13fbc1b0b409dff36b1ce70e6b4f0c1f371fd837247b27763787dd1346,motion_attenuation_0p5,180713,27608ec678d0be3df47219bae56cf6d46ff319f4a0b8503a6c661d2cc2fe6fb2,50,13,0.47012344002723694,calibration-task07-init13,e888f2b332768693ded586d828272d2c2e50aaab956e99a0fee20788a31253a1,08d2806caca1c21e35ab2a08dbaabd6b6d2a0af716ba1601c56f2a255c64a205,bc3ef2a4fd78ed5e281a4382c35db504b7cc1283df7dabb0819610d9bb25d41e,calibration,90,False,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,81
f52d1e61dcb938375daff76aec9675036bab9f830237092ac943deb5fc62924c,8,e2919e4a69caf45e3c1f127c8d789ba1a0db8dc2e8d5c3d04420cbed815302a3,nominal,180816,e2919e4a69caf45e3c1f127c8d789ba1a0db8dc2e8d5c3d04420cbed815302a3,,16,0.0,calibration-task08-init16,28659562202acf5e05025242dbf9255c64d8be9e2e20b20b6c8ef5a20debad3b,08d2806caca1c21e35ab2a08dbaabd6b6d2a0af716ba1601c56f2a255c64a205,bc3ef2a4fd78ed5e281a4382c35db504b7cc1283df7dabb0819610d9bb25d41e,calibration,90,False,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,81
91c5813950a50c95af8375f6c8c6cd0e00aa7e0e0c11609a164133aa8b662af1,8,ccfee934c6a560f2b3738f56053b455e48e353b303c84bf98caa65ecb01e3266,motion_attenuation_0p5,180816,f8a0df484c387da7fa2db3d2f4026c5d0d33c9cdc5dcd87afec049c256833f83,50,16,0.3482475280761719,calibration-task08-init16,28659562202acf5e05025242dbf9255c64d8be9e2e20b20b6c8ef5a20debad3b,08d2806caca1c21e35ab2a08dbaabd6b6d2a0af716ba1601c56f2a255c64a205,bc3ef2a4fd78ed5e281a4382c35db504b7cc1283df7dabb0819610d9bb25d41e,calibration,90,False,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,81
b7f6a180d2ae07e36b2313ecfdf1705573d5bc1999486ec26b38ddc2ee37965e,8,8e6d83b93389353efb429202044a0a9c899cb8e6a39981eaa62be06c991d8eed,nominal,180805,8e6d83b93389353efb429202044a0a9c899cb8e6a39981eaa62be06c991d8eed,,5,0.0,calibration-task08-init05,da8eb176b9e7086f5cdd98af8401dac872f6f898934c633a371823d226c886a5,08d2806caca1c21e35ab2a08dbaabd6b6d2a0af716ba1601c56f2a255c64a205,bc3ef2a4fd78ed5e281a4382c35db504b7cc1283df7dabb0819610d9bb25d41e,calibration,90,False,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,81
8323d3cc89aae88ea2dc28c456792f7021ebb994dad2f96eb2eac91646dc58cf,8,57e55efff506ff21397664f7492501dfcd0a1c8eb2d1065085dc99cfd190daff,motion_attenuation_0p5,180805,21ace3988203e29c3a629c04f085d700f216643a958b886de4bb9d769d5e402e,50,5,0.362029492855072,calibration-task08-init05,da8eb176b9e7086f5cdd98af8401dac872f6f898934c633a371823d226c886a5,08d2806caca1c21e35ab2a08dbaabd6b6d2a0af716ba1601c56f2a255c64a205,bc3ef2a4fd78ed5e281a4382c35db504b7cc1283df7dabb0819610d9bb25d41e,calibration,90,False,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,81
1d339423092545e0d1d9cfea96ccaf9cc9262653a299dd6b74c9aa45e8b18080,4,c20c7db9da414219393d89f909b8c780a9ad038afd14dba939bc5f0277717e12,nominal,180406,c20c7db9da414219393d89f909b8c780a9ad038afd14dba939bc5f0277717e12,,6,0.0,test-task04-init06,f13e9dd00632b156ea9d31a0cd05c7d56025ee0fee3a4d709d48eef94d998c16,08d2806caca1c21e35ab2a08dbaabd6b6d2a0af716ba1601c56f2a255c64a205,bc3ef2a4fd78ed5e281a4382c35db504b7cc1283df7dabb0819610d9bb25d41e,test,90,False,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,81
664e8ba9798720c6bf1a3213e155de94be99d6f82048c0ec300e7384171eccc8,4,b78ffb7aee0c8c609ffafb553d690c298f5e9027d7500bf3fc29d8d56956628b,motion_attenuation_0p5,180406,2e5ebd3b23a717633b362450ee19ce38f04cd577190e0b2819ca611378677a12,50,6,0.38135281205177307,test-task04-init06,f13e9dd00632b156ea9d31a0cd05c7d56025ee0fee3a4d709d48eef94d998c16,08d2806caca1c21e35ab2a08dbaabd6b6d2a0af716ba1601c56f2a255c64a205,bc3ef2a4fd78ed5e281a4382c35db504b7cc1283df7dabb0819610d9bb25d41e,test,90,False,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,81
