pair_id,condition,benchmark_task_id,init_state_index,steps,source_archive_sha256,policy_pixels_sha256,feature_file,feature_bytes,feature_sha256
task04-init03,nominal,4,3,90,b2bba30dd200e6fc4b8979d5abe3de1c4330611637dfcee51f0d0e7abb47c324,894b86d58d96d31a2ff1566cf83116eb694387ffa329a30fd2e25b69277c032f,outputs/wm/stage27_hidden_dynamics_residual/features/task04-init03-nominal.safetensors,2242856,eff7d59cd8c81bd5b540751610e6120ed169aac4e1e17610400470e7101e00a3
task04-init03,arm_actuator_gain_0p5,4,3,90,b83b1e16e3bedbb788d5de1520fab9797f512e02026895ba7619f39bfdddee7c,d18637571531c80068d89586083b52f4fd61ef170f7428338aa0ec810dfea7e0,outputs/wm/stage27_hidden_dynamics_residual/features/task04-init03-arm_actuator_gain_0p5.safetensors,2242872,a909fdbff8f73b9c5340ec217011599b72ebc8a9330bdd1091a6dfbfc65d5131
task04-init13,nominal,4,13,90,1ee46657173afdb8adcca089fe7299dafc483cb57fc09520c6cd8589caa6c285,64b5fb9592d6949f6c41f3193d8636fb052b29748bcbed141ad788ba3baa6481,outputs/wm/stage27_hidden_dynamics_residual/features/task04-init13-nominal.safetensors,2242856,fccc2d43fdfb8cac9eb4014db2132ab41f5462b4940a41164202fbfe73e16684
task04-init13,arm_actuator_gain_0p5,4,13,90,3a014f951087edc6e0badf41ceba445d075e407fd1f9afad6f25601ec7712299,ef2c45d4c86f1815dbd265be2926e66c47bed8c603bd86ca03155973c7371a19,outputs/wm/stage27_hidden_dynamics_residual/features/task04-init13-arm_actuator_gain_0p5.safetensors,2242872,30a33dbe587778c2511b8bc11691d89f82871018840d20520036fef37027aa55
task07-init10,nominal,7,10,90,9a3c74fb121157ac75ceb53d93f20732137ec916ee352f8fccc3bf0201b0946a,146ace47f93c7e3f22166b790e2e6e75834f6cd1ef22c491af3f70cbf5e1c301,outputs/wm/stage27_hidden_dynamics_residual/features/task07-init10-nominal.safetensors,2242856,a6a04ff03e46673e95f281b18f98ea9a033ba3efbdc68c7c1d8c1e3d15adf401
task07-init10,arm_actuator_gain_0p5,7,10,90,6a15c83d4c62338874a6dc3acf270148c35f11070d75756f40a169e262f28280,3c82b30ff62ee7996b3d3e4c956cb2576d7faa753cac3327006f0260efa2e37e,outputs/wm/stage27_hidden_dynamics_residual/features/task07-init10-arm_actuator_gain_0p5.safetensors,2242872,4894aca29016d4cc788d488138aabbde357cd1d668d556e475d2c4aacd4f8ee7
task07-init13,nominal,7,13,90,42faf05528f531e8ffb4939fe62c1a459cb09691301fa814b248cedbd29c03c4,f348a2edc6b2ee0eb339dea5fe33bd855405c0a6bac886ac9c163c133bda93db,outputs/wm/stage27_hidden_dynamics_residual/features/task07-init13-nominal.safetensors,2242856,b8be1985ecd74e42431dcf9ef749908b2857c49c4647eeec93038ac6b8fd7725
task07-init13,arm_actuator_gain_0p5,7,13,90,823efeddd742cffa9daf2b5e4085085f8f5ea05103cb3c3d9ece2744b881d701,70f0d01c4003630329e5b25d4608c572195535caa899b5dc08cca44e77045bd3,outputs/wm/stage27_hidden_dynamics_residual/features/task07-init13-arm_actuator_gain_0p5.safetensors,2242872,1c03d523f67c2ef3c0c787dcfeac8a397110f3b9b55b01865efaa30af39de00e
task08-init05,nominal,8,5,90,3c001bc2b3779bf8e5f8aa9b8929084dc483f5223732002a59ec3118cd285b56,f6043c6246b3b4392d759aa465a8a306b2fd2020a8651295436f3b65779e32e3,outputs/wm/stage27_hidden_dynamics_residual/features/task08-init05-nominal.safetensors,2242856,ca54456c7ece70ddf55e5cacc3155d9443009fbd566423408875a21a7ca4d4fa
task08-init05,arm_actuator_gain_0p5,8,5,90,da9db81d9991844d9c7532f7c47bde606480315bf15ad0831048c58203288d74,a9eb6028aabc7527f6f21e15bbb328a581736d71c485b927239978d4fba84777,outputs/wm/stage27_hidden_dynamics_residual/features/task08-init05-arm_actuator_gain_0p5.safetensors,2242872,b93c064eaa1f64a0f44e36d3101873b48a2c9384a51152cf8c46cba20c42f757
task08-init16,nominal,8,16,90,73ac5fa6bb7773746e6fe64431e034bad516b182a27a2e175d19bfd9564cfd3c,39f137ecef20f985888132ff30266ec7822a4e1c09d8689a41caf9a7a84a24c4,outputs/wm/stage27_hidden_dynamics_residual/features/task08-init16-nominal.safetensors,2242856,9b3bb98d15a7675b1ba00be101d316dcd704a9fcc1dd5b23863a0cdaca52fdf2
task08-init16,arm_actuator_gain_0p5,8,16,90,52d000c49905dc0b297b44d4f36f26b8289128559f9319fd0152388ee86a4c9e,010b66b78e11d7a4d72f230f640f0a60f42b62ef6ea40c38e452ccfb92686bc9,outputs/wm/stage27_hidden_dynamics_residual/features/task08-init16-arm_actuator_gain_0p5.safetensors,2242872,b42baed6510f2e95b35090ee8d5f4a5bd9c2b3f3510e9e7885f614329bcbc5a1
