pair_id,benchmark_task_id,task_name,init_state_index,episode_seed,pilot_pair,condition,steps,success_within_prefix,initial_observation_sha256,pre_observation_sha256,pre_commanded_action_sha256,first_post_h10_command_sha256,commanded_action_sha256,interface_action_sha256,action_interface_mismatch_steps,protocol_sha256,archive_bytes,archive_sha256
task04-init06,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,6,180406,False,nominal,90,False,318841f317896fb08ed856c24f51b9f95e1ef008360ed1868683fd8229ff1dd2,e8cd5621939a17030130bf376acc00d5cf6ed8973532383ce03db305e4e83474,f13e9dd00632b156ea9d31a0cd05c7d56025ee0fee3a4d709d48eef94d998c16,83fbd763f506a27c46312f4e08420868d3d4ddb2dce984806746a3d44b3adf0c,c20c7db9da414219393d89f909b8c780a9ad038afd14dba939bc5f0277717e12,c20c7db9da414219393d89f909b8c780a9ad038afd14dba939bc5f0277717e12,0,354c66d9452fcad20570c16807399f3a42b5a3588b81ccd68ab835ac3f035ff8,24123204,e2ce8adbf082111001e093c4c8b8ba2e2462ed2a290ed86308551529207e8d0e
task04-init06,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,6,180406,False,arm_actuator_gain_0p5,90,False,318841f317896fb08ed856c24f51b9f95e1ef008360ed1868683fd8229ff1dd2,e8cd5621939a17030130bf376acc00d5cf6ed8973532383ce03db305e4e83474,f13e9dd00632b156ea9d31a0cd05c7d56025ee0fee3a4d709d48eef94d998c16,83fbd763f506a27c46312f4e08420868d3d4ddb2dce984806746a3d44b3adf0c,fc380143b9b39f17f7b5165a230cd81c7cd82975fa519fec5cdc80dde797992c,fc380143b9b39f17f7b5165a230cd81c7cd82975fa519fec5cdc80dde797992c,0,354c66d9452fcad20570c16807399f3a42b5a3588b81ccd68ab835ac3f035ff8,23059520,e3ed37e065def0eb0768091b22888c6bc140b29480f8a8f7bf8e8525aeaf36b4
task04-init09,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,9,180409,False,nominal,90,False,4da5d804aba5b1a421090d86b7bed91776cb32256441f2ac4b2adcab0ab91b9e,b92e26e902b1648cf095f71cefd6b421d5193a6cb85ef96956b99523f97029f2,529e994536c0b368abfb0ce0ab16e1d4f56eaa75d416e5cd1ca76d14964ac87f,69f52295146698a6ddc7e2d11191ef7c2bc07fa7701dc5b01aac005ccea4a011,a1777a103525645d3c9227094bd9aa186ee26a53e5a0c33913e46a10d5321286,a1777a103525645d3c9227094bd9aa186ee26a53e5a0c33913e46a10d5321286,0,354c66d9452fcad20570c16807399f3a42b5a3588b81ccd68ab835ac3f035ff8,24487558,19c8cdf2aeda4c38ca793e0e123c906ed03804045351c7e19ac06f23a65afe58
task04-init09,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,9,180409,False,arm_actuator_gain_0p5,90,False,4da5d804aba5b1a421090d86b7bed91776cb32256441f2ac4b2adcab0ab91b9e,b92e26e902b1648cf095f71cefd6b421d5193a6cb85ef96956b99523f97029f2,529e994536c0b368abfb0ce0ab16e1d4f56eaa75d416e5cd1ca76d14964ac87f,69f52295146698a6ddc7e2d11191ef7c2bc07fa7701dc5b01aac005ccea4a011,9a100c6bbf64e982d3789e1014e013da6c5b64fe5a12b46193e680866af5c8e4,9a100c6bbf64e982d3789e1014e013da6c5b64fe5a12b46193e680866af5c8e4,0,354c66d9452fcad20570c16807399f3a42b5a3588b81ccd68ab835ac3f035ff8,23573015,d247bad3b035e18e8da31712feaac39e435c418901d7959c3de8265519bc9965
task07-init08,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,8,180708,False,nominal,90,False,cda4ff80b50dc0f38f4eff744f81c14f08b8809c560039ac57bb29a8115e0533,b708350afa433f1810d755f4f104d736e493d2421d1791f722a0936109e9aa9a,5829c1dd155f1d4d76366691c8b208fe765e74365800bc023a4fe3966e7dfeda,a241a70820321fbe730d3f0befee756a7f3535add7fc9987d8cf94edebc57c40,fa43b11639b5045a9ce77f9874c1df878c80326e8ff63b874c73180895dbb823,fa43b11639b5045a9ce77f9874c1df878c80326e8ff63b874c73180895dbb823,0,354c66d9452fcad20570c16807399f3a42b5a3588b81ccd68ab835ac3f035ff8,23262210,caeea41f6db41b9c08c4e70f650a113b69d125b2f1498547aa89c42f8213ac39
task07-init08,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,8,180708,False,arm_actuator_gain_0p5,90,False,cda4ff80b50dc0f38f4eff744f81c14f08b8809c560039ac57bb29a8115e0533,b708350afa433f1810d755f4f104d736e493d2421d1791f722a0936109e9aa9a,5829c1dd155f1d4d76366691c8b208fe765e74365800bc023a4fe3966e7dfeda,a241a70820321fbe730d3f0befee756a7f3535add7fc9987d8cf94edebc57c40,9f81c9491c44376546b28cb63eebd810084afd24e7142cc0245604ac615e2e2e,9f81c9491c44376546b28cb63eebd810084afd24e7142cc0245604ac615e2e2e,0,354c66d9452fcad20570c16807399f3a42b5a3588b81ccd68ab835ac3f035ff8,22849447,f3ef9a159c80c7ec627fae64d85522c617a86191ff9d62394af8800709b62afd
task07-init11,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,11,180711,False,nominal,90,False,80ea51adb26af1d03fce4d99d149576f96835a847aa90c31bfce96053bf99e28,33ecc568d13a7b88317bbc547a2784ad2a72b711ed63bb1b03212cc61be5bc18,5475c24e8e46052243e18e35d988a592787a6900bcee9f8e374cf3747e205cde,9e6f428825473d598633859cc063f8ffcea8b244b196414f441e7c1c1fc7a470,c4968daa855b7b9141c05e93f8112c079e7d2e223475910e76b0669dec24a5ce,c4968daa855b7b9141c05e93f8112c079e7d2e223475910e76b0669dec24a5ce,0,354c66d9452fcad20570c16807399f3a42b5a3588b81ccd68ab835ac3f035ff8,26594151,68bf6e7e16163c663abc3716e79c9af6fa452205bbe8a7eff03d7cfe9b34d186
task07-init11,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,11,180711,False,arm_actuator_gain_0p5,90,False,80ea51adb26af1d03fce4d99d149576f96835a847aa90c31bfce96053bf99e28,33ecc568d13a7b88317bbc547a2784ad2a72b711ed63bb1b03212cc61be5bc18,5475c24e8e46052243e18e35d988a592787a6900bcee9f8e374cf3747e205cde,9e6f428825473d598633859cc063f8ffcea8b244b196414f441e7c1c1fc7a470,6f2c0a65cb38543d9d748c3f6e73a811b88384337ae9618695a48eba916ecdd7,6f2c0a65cb38543d9d748c3f6e73a811b88384337ae9618695a48eba916ecdd7,0,354c66d9452fcad20570c16807399f3a42b5a3588b81ccd68ab835ac3f035ff8,26191360,7b64b45a14fe97cbfac57306190a95a7195631a40b216ecf6c6463720d928de2
task08-init10,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,10,180810,False,nominal,90,False,5d43c9033f44a9ef6c9971b88f78160f800a3578c85c161d674a9db0ca39f387,1c974bfd42355bf1e7e35d316a476226f6d3c7f7c0509bb408fa4055b3509e64,c5d0878c41f398d02829b6688a56fd21111b4620b84df7d5b9927d0e4f8f5abd,b208cb43f867505b42f8f24107182d9363d91499ff54620823626c81be43c204,6e1bfd434b455b4aea36f58463a5221c06c60503a61d87e370d1c5c36928a87f,6e1bfd434b455b4aea36f58463a5221c06c60503a61d87e370d1c5c36928a87f,0,354c66d9452fcad20570c16807399f3a42b5a3588b81ccd68ab835ac3f035ff8,25230419,e7e33a69aa3b80e40a35629a36aede5f71d4d53523bd10f7a5c34f97a32ec919
task08-init10,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,10,180810,False,arm_actuator_gain_0p5,90,False,5d43c9033f44a9ef6c9971b88f78160f800a3578c85c161d674a9db0ca39f387,1c974bfd42355bf1e7e35d316a476226f6d3c7f7c0509bb408fa4055b3509e64,c5d0878c41f398d02829b6688a56fd21111b4620b84df7d5b9927d0e4f8f5abd,b208cb43f867505b42f8f24107182d9363d91499ff54620823626c81be43c204,d65faed5d2c50bf7a998d3a65b66e078774be7d16ea954562530c1947e50c68f,d65faed5d2c50bf7a998d3a65b66e078774be7d16ea954562530c1947e50c68f,0,354c66d9452fcad20570c16807399f3a42b5a3588b81ccd68ab835ac3f035ff8,24984137,728c3276ec5bad2743a0d6d10a4ce771fb2dcd1eac3bc9587b79fae342d0fe71
task08-init23,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,23,180823,False,nominal,90,False,f8d23f06980a7caacb65a4a1c7f1568158e1f0a342fda18b33f22ff0dd8cc997,c36d4b8cb50cf86756b2afe1dc85dec1dcd19ddac63814a0766a086ae89548b8,ffbbb91c5eb31023f062a562aa845f32e671444223b75fd4727045decc116379,9bc4f974b7269815215f606aca5034d2dc3a981b55314dad3344f979c4ea7593,c63531495433db84518c1dee13c4feff307f7bd1c61ec49661c69e8c920e0f13,c63531495433db84518c1dee13c4feff307f7bd1c61ec49661c69e8c920e0f13,0,354c66d9452fcad20570c16807399f3a42b5a3588b81ccd68ab835ac3f035ff8,26331716,4e224d48fcb55baebd9c921fae5eb326248fa85deaeda030617f744e0d6c2d59
task08-init23,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,23,180823,False,arm_actuator_gain_0p5,90,False,f8d23f06980a7caacb65a4a1c7f1568158e1f0a342fda18b33f22ff0dd8cc997,c36d4b8cb50cf86756b2afe1dc85dec1dcd19ddac63814a0766a086ae89548b8,ffbbb91c5eb31023f062a562aa845f32e671444223b75fd4727045decc116379,9bc4f974b7269815215f606aca5034d2dc3a981b55314dad3344f979c4ea7593,fd82bcecdd9c88c281fc375c3a44b9065b06ce74110af10f771c95f0e2aacc33,fd82bcecdd9c88c281fc375c3a44b9065b06ce74110af10f771c95f0e2aacc33,0,354c66d9452fcad20570c16807399f3a42b5a3588b81ccd68ab835ac3f035ff8,27523370,9ee602facd2c3c2fcc7a2d3ee56d0cb55e4c6506bdc547d7e7bc550fb29bb0fa
