pair_id,condition,benchmark_task_id,init_state_index,source_archive_sha256,policy_pixels_sha256,feature_file,feature_bytes,feature_sha256
task04-init06,nominal,4,6,e2ce8adbf082111001e093c4c8b8ba2e2462ed2a290ed86308551529207e8d0e,0f386c298d60f2ab5a0e5d799cb30f66a03457a3937db52b8dd55e39cb0171b5,outputs/wm/stage28_confirm_hidden_dynamics_residual/features/task04-init06-nominal.safetensors,2240168,b80baf3fb071b0d0698cde97fdca9fdaf5dcff2f10ca9e9644df3a9f1e0b0e12
task04-init06,arm_actuator_gain_0p5,4,6,e3ed37e065def0eb0768091b22888c6bc140b29480f8a8f7bf8e8525aeaf36b4,631662f4d30ab9f79e0ba6ff4a1cefcbb9a05e71bcc5cc33cdec358127c24318,outputs/wm/stage28_confirm_hidden_dynamics_residual/features/task04-init06-arm_actuator_gain_0p5.safetensors,2240184,e63662db4cfe85b9d752245b8c87d6b160faa6731300afa9e2d802cc5d959885
task04-init09,nominal,4,9,19c8cdf2aeda4c38ca793e0e123c906ed03804045351c7e19ac06f23a65afe58,40cac442a1cd6a6f0f66dee9e7672392a1b4eebd9a7bdccd32aacb58392d701e,outputs/wm/stage28_confirm_hidden_dynamics_residual/features/task04-init09-nominal.safetensors,2240168,1b44fd87be9ea01ee4d742c1f8c886fb0f09518560ea156d52204239dab2a5c2
task04-init09,arm_actuator_gain_0p5,4,9,d247bad3b035e18e8da31712feaac39e435c418901d7959c3de8265519bc9965,46ef867be5b3fbe70a9917784166d5c025fa337844163a9f2529cb1d47796d6f,outputs/wm/stage28_confirm_hidden_dynamics_residual/features/task04-init09-arm_actuator_gain_0p5.safetensors,2240184,4b50d24582bbb768b50bfe113e97110cb5a018433b236212fa5ab519a5b14a19
task07-init08,nominal,7,8,caeea41f6db41b9c08c4e70f650a113b69d125b2f1498547aa89c42f8213ac39,91e05c24b8919fdf1cad4c1cd0d54ef08c7622f820308561fc76ad13b43c12bb,outputs/wm/stage28_confirm_hidden_dynamics_residual/features/task07-init08-nominal.safetensors,2240168,6280fe57654008f48dd78c8b92a6d25293f301f050e688d45cfc9b60c9f2dcf5
task07-init08,arm_actuator_gain_0p5,7,8,f3ef9a159c80c7ec627fae64d85522c617a86191ff9d62394af8800709b62afd,128fa89ca8486d5cae7adca07363906968b6ec828ddc300b8b98196fbc42bc77,outputs/wm/stage28_confirm_hidden_dynamics_residual/features/task07-init08-arm_actuator_gain_0p5.safetensors,2240184,3d16ee6e98cff2c507671523fa3a9c4cc83f626e9a69627ef8607b6e7dd12fa2
task07-init11,nominal,7,11,68bf6e7e16163c663abc3716e79c9af6fa452205bbe8a7eff03d7cfe9b34d186,78955a81ff199e656a876c106827ec628ee95315d7c2b1caf93304e09887080c,outputs/wm/stage28_confirm_hidden_dynamics_residual/features/task07-init11-nominal.safetensors,2240168,ef56bf7708d8061be8e9a7b008ebab9db2e86ac314e94f2904939fddbecba782
task07-init11,arm_actuator_gain_0p5,7,11,7b64b45a14fe97cbfac57306190a95a7195631a40b216ecf6c6463720d928de2,72beed59621521e29fe6cf6494a68c6bc96d23e7d3b86a7f1faca24bd2b0ad64,outputs/wm/stage28_confirm_hidden_dynamics_residual/features/task07-init11-arm_actuator_gain_0p5.safetensors,2240184,9fa4de23a54cda0afe1bdfadb5e1163af00fd0cb343b3d3351e139937635e8b7
task08-init10,nominal,8,10,e7e33a69aa3b80e40a35629a36aede5f71d4d53523bd10f7a5c34f97a32ec919,3360eddf8175ffa21e3ba2d19c802cd2ca0d266e3983810d095f59761a9d0c64,outputs/wm/stage28_confirm_hidden_dynamics_residual/features/task08-init10-nominal.safetensors,2240168,81acffb9989e23098a5d9eaed1d6b01fec2fe87bc5da96d4995880e5528273d3
task08-init10,arm_actuator_gain_0p5,8,10,728c3276ec5bad2743a0d6d10a4ce771fb2dcd1eac3bc9587b79fae342d0fe71,93887bfeb679932730f322fe86ba64251735bee5cfcdbe8e4f597fa5b1957182,outputs/wm/stage28_confirm_hidden_dynamics_residual/features/task08-init10-arm_actuator_gain_0p5.safetensors,2240184,4663fda4b363d09cd030e727b51b68d52ae5ea695f4c1dd446be0cc5654ab758
task08-init23,nominal,8,23,4e224d48fcb55baebd9c921fae5eb326248fa85deaeda030617f744e0d6c2d59,ad2145f79522e050aed36f7574ff3b4e6f4a2975bdaa70df0fe3db077b77120f,outputs/wm/stage28_confirm_hidden_dynamics_residual/features/task08-init23-nominal.safetensors,2240168,ab8f95d5b17f3b718439ebee012805db0492c7ce4e8c52fb7a7de0f705ac73f4
task08-init23,arm_actuator_gain_0p5,8,23,9ee602facd2c3c2fcc7a2d3ee56d0cb55e4c6506bdc547d7e7bc550fb29bb0fa,15e68f9177b36f78ecb82e8fd6d91ef532d6972e4e5330195ff9196f67a0607d,outputs/wm/stage28_confirm_hidden_dynamics_residual/features/task08-init23-arm_actuator_gain_0p5.safetensors,2240184,d70bd5c13412822f95808cf5a6a88aca97af9c508255a24fd62fef9e279ba956
